Quarter,Time,Down,ToGo,Location,CAR,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Eddy Pineiro kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ATL 25,0,0,Marcus Mariota pass incomplete short left intended for Kyle Pitts,0.610,0.060
1,14:55,2,10,ATL 25,0,0,Marcus Mariota pass deep middle intended for Damiere Byrd is intercepted by Donte Jackson at CAR-20 and returned for no gain (tackle by Damiere Byrd),0.060,-0.280
1,14:46,1,10,CAR 20,0,0,D'Onta Foreman left tackle for 7 yards (tackle by Mykal Walker),0.280,0.680
1,14:14,2,3,CAR 27,0,0,P.J. Walker pass complete short right to Laviska Shenault for -1 yards (tackle by Grady Jarrett and Adetokunbo Ogundeji),0.680,-0.160
1,13:31,3,4,CAR 26,0,0,"P.J. Walker pass incomplete short right intended for D.J. Moore. Penalty on Dean Marlowe: Face Mask (15 Yards), 15 yards (accepted) (no play)",-0.160,1.660
1,13:26,1,10,CAR 41,0,0,D'Onta Foreman right tackle for 3 yards (tackle by Mykal Walker and Ta'Quon Graham),1.660,1.530
1,12:48,2,7,CAR 44,0,0,P.J. Walker pass incomplete deep right intended for Tommy Tremble,1.530,0.830
1,12:41,3,7,CAR 44,0,0,P.J. Walker pass incomplete deep middle intended for D.J. Moore,0.830,-0.460
1,12:36,4,7,CAR 44,0,0,"Johnny Hekker punts 44 yards, fair catch by Avery Williams at ATL-12",-0.460,0.350
1,12:28,1,10,ATL 12,0,0,Tyler Allgeier left end for 13 yards (tackle by Xavier Woods),-0.350,0.610
1,11:48,1,10,ATL 25,0,0,Tyler Allgeier right tackle for 1 yard (tackle by Brian Burns and Derrick Brown),0.610,0.200
1,11:03,2,9,ATL 26,0,0,Marcus Mariota sacked by and Yetur Gross-Matos for -1 yards and Derrick Brown for -1 yards,0.200,-0.620
1,10:20,3,10,ATL 25,0,0,Marcus Mariota sacked by Frankie Luvu for -13 yards,-0.620,-2.490
1,9:37,4,23,ATL 12,0,0,"Bradley Pinion punts 47 yards, returned by Shi Smith for 22 yards (tackle by Richie Grant)",-2.490,-3.120
1,9:23,1,10,ATL 37,0,0,D'Onta Foreman left guard for 9 yards (tackle by Cornell Armstrong),3.120,3.790
1,8:53,2,1,ATL 28,0,0,D'Onta Foreman left guard for 4 yards (tackle by Timmy Horne and Rashaan Evans),3.790,3.970
1,8:18,1,10,ATL 24,0,0,P.J. Walker pass incomplete deep middle intended for D.J. Moore,3.970,3.430
1,8:14,2,10,ATL 24,0,0,Raheem Blackshear left tackle for -2 yards (tackle by Grady Jarrett),3.430,2.480
1,7:35,3,12,ATL 26,0,0,Spencer Brown left tackle for 7 yards (tackle by Mykal Walker and Ta'Quon Graham),2.480,2.240
1,6:54,4,5,ATL 19,3,0,Eddy Pineiro 37 yard field goal good,2.240,3.000
1,6:50,,,CAR 35,3,0,"Eddy Pineiro kicks off 65 yards, returned by Avery Williams for 17 yards (tackle by Giovanni Ricci). Penalty on Troy Andersen: Offensive Illegal Block Above the Waist, 9 yards (accepted)",0.000,-0.380
1,6:43,1,10,ATL 8,3,0,Caleb Huntley left tackle for 3 yards (tackle by Brian Burns),-0.380,-0.560
1,6:01,2,7,ATL 11,3,0,Marcus Mariota pass complete short right to Damiere Byrd for 12 yards (tackle by Juston Burris),-0.560,0.480
1,5:17,1,10,ATL 23,3,0,Caleb Huntley left end for 5 yards (tackle by Shaq Thompson),0.480,0.610
1,4:41,2,5,ATL 28,3,0,Marcus Mariota left end for 10 yards (tackle by Xavier Woods),0.610,1.470
1,3:56,1,10,ATL 38,3,0,Tyler Allgeier left end for 4 yards (tackle by Yetur Gross-Matos and Derrick Brown),1.470,1.460
1,3:18,2,6,ATL 42,3,0,Marcus Mariota pass complete short left to Avery Williams for -1 yards (tackle by Jaycee Horn),1.460,0.630
