Unnamed: 0,BAL,STL
First Downs,16,7
Rush-Yds-TDs,38-145-1,21-47-2
Cmp-Att-Yd-TD-INT,17-33-170-1-3,13-26-110-0-2
Sacked-Yards,7-48,4-36
Net Pass Yards,122,74
Total Yards,267,121
Fumbles-Lost,5-4,2-2
Turnovers,7,4
Penalties-Yards,10-80,7-75
Third Down Conv.,3-16,3-14
Fourth Down Conv.,0-1,0-0
Time of Possession,37:21,22:39
