Quarter,Time,Tm,Detail,BAL,STL
1.0,11:12,Rams,Marshall Faulk 5 yard rush (Jeff Wilkins kick),0,7
,9:28,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),0,14
,5:23,Ravens,Matt Stover 41 yard field goal,3,14
2.0,10:11,Ravens,Matt Stover 25 yard field goal,6,14
,6:43,Ravens,Jamal Lewis 2 yard rush (pass failed),12,14
,4:44,Rams,Adam Archuleta 45 yard defensive fumble return (Jeff Wilkins kick),12,21
,1:19,Ravens,Jonathan Ogden 1 yard pass from Kyle Boller (Matt Stover kick),19,21
3.0,10:22,Ravens,Matt Stover 41 yard field goal,22,21
4.0,14:52,Rams,Jeff Wilkins 49 yard field goal,22,24
,9:08,Rams,Jeff Wilkins 46 yard field goal,22,27
,5:25,Rams,Jeff Wilkins 48 yard field goal,22,30
,1:41,Rams,Jeff Wilkins 27 yard field goal,22,33
