Quarter,Time,Down,ToGo,Location,BAL,STL,Detail,EPB,EPA
1,1:07,3,1,STL 21,3,14,Marshall Faulk left tackle for 1 yard (tackle by Marques Douglas and Ed Reed),-0.370,0.410
1,0:35,1,10,STL 22,3,14,Marshall Faulk right guard for 1 yard (tackle by Anthony Weaver),0.410,0.000
Quarter,Time,Down,ToGo,Location,BAL,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,STL 23,3,14,Marc Bulger pass complete to Marshall Faulk for 3 yards (tackle by Peter Boulware),0.000,-0.290
2,14:17,3,6,STL 26,3,14,Marc Bulger pass incomplete intended for Marshall Faulk,-0.290,-1.630
2,14:12,4,6,STL 26,3,14,"Sean Landeta punts 46 yards, returned by Lamont Brightful for 24 yards (tackle by Jamie Duncan). Penalty on Jamie Duncan: Unnecessary Roughness, 15 yards",-1.630,-3.380
2,14:01,1,10,STL 33,3,14,Kyle Boller pass complete to Jamal Lewis for 6 yards (tackle by Travis Fisher),3.380,3.650
2,13:24,2,4,STL 27,3,14,Kyle Boller pass complete to Marcus Robinson for 8 yards (tackle by Travis Fisher),3.650,4.310
2,12:41,1,10,STL 19,3,14,Jamal Lewis left tackle for 9 yards (tackle by Adam Archuleta),4.310,5.360
2,12:08,2,1,STL 10,3,14,Jamal Lewis up the middle for 3 yards (tackle by Pisa Tinoisamoa and Robert W. Thomas),5.360,5.600
2,11:25,1,7,STL 7,3,14,Jamal Lewis left tackle for 2 yards (tackle by Brian Young),5.600,5.150
2,10:46,2,5,STL 5,3,14,Kyle Boller sacked by Grant Wistrom for -2 yards. Penalty on Orlando Brown: Illegal Shift (Declined),5.150,3.810
2,10:20,3,7,STL 7,3,14,Kyle Boller pass incomplete intended for Todd Heap,3.810,2.970
2,10:16,4,7,STL 7,6,14,Matt Stover 25 yard field goal good,2.970,3.000
2,,,,BAL 30,6,14,"Wade Richey kicks off 72 yards, returned by Mike Furrey for 16 yards (tackle by John Jones)",0.000,-0.280
2,10:05,1,10,STL 14,6,14,Marshall Faulk left tackle for -3 yards (tackle by Marques Douglas),-0.280,-1.000
2,9:28,2,13,STL 11,6,14,Marc Bulger pass incomplete intended for Isaac Bruce,-1.000,-1.770
2,9:21,3,13,STL 11,6,14,Marc Bulger pass incomplete intended for Isaac Bruce (defended by Anthony Weaver),-1.770,-2.490
2,9:17,4,13,STL 11,6,14,"Sean Landeta punts 44 yards, returned by Lamont Brightful for 10 yards (tackle by DeJuan Groce)",-2.490,-2.590
2,9:05,1,10,STL 45,6,14,Jamal Lewis left tackle for 6 yards (tackle by Jimmy Kennedy),2.590,2.850
2,8:33,2,4,STL 39,6,14,Jamal Lewis right end for -1 yards (tackle by Tommy Polley),2.850,2.010
2,7:56,,,,6,14,Timeout #1 by Baltimore Ravens,0.000,2.010
2,7:56,3,5,STL 40,6,14,"Penalty on Edwin Mulitalo: False Start, 5 yards (no play)",2.010,1.360
2,7:56,3,10,STL 45,6,14,Kyle Boller pass complete to Travis Taylor for 40 yards (tackle by Tommy Polley),1.360,6.060
2,7:30,1,5,STL 5,6,14,Jamal Lewis left guard for 3 yards (tackle by Ryan Pickett),6.060,5.720
2,6:50,2,2,STL 2,12,14,"Jamal Lewis left tackle for 2 yards, touchdown",5.720,7.000
2,,,,,12,14,"Two Point Attempt: Kyle Boller pass incomplete intended for Marcus Robinson, conversion fails",1.000,-1.000
2,,,,BAL 30,12,14,"Wade Richey kicks off 67 yards, returned by Arlen Harris for 20 yards (tackle by Gerome Sapp)",0.000,0.480
2,6:38,1,10,STL 23,12,14,Marc Bulger pass incomplete intended for Isaac Bruce (defended by Ray Lewis),0.480,-0.070
2,6:33,2,10,STL 23,12,14,"Penalty on Andy McCollum: False Start, 5 yards (no play)",-0.070,-0.840
2,6:33,2,15,STL 18,12,14,Marc Bulger pass complete to Isaac Bruce for 5 yards (tackle by Chad Williams),-0.840,-0.760
2,5:55,3,10,STL 23,12,14,Marc Bulger sacked by Peter Boulware for -9 yards,-0.760,-2.470
2,5:31,4,19,STL 14,12,14,"Sean Landeta punts 36 yards, returned by Lamont Brightful for 16 yards (tackle by Rich Coady)",-2.470,-3.310
2,5:21,1,10,STL 34,12,14,Kyle Boller pass incomplete intended for Todd Heap,3.310,2.770
2,5:16,2,10,STL 34,12,14,"Kyle Boller pass complete to Todd Heap for 14 yards (tackle by Travis Fisher). Penalty on Ethan Brooks: Offensive Holding, 10 yards (no play)",2.770,1.420
2,4:52,2,20,STL 44,12,20,"Kyle Boller sacked by Adam Archuleta for -8 yards. Kyle Boller fumbles (forced by Adam Archuleta), recovered by Adam Archuleta at BAL-45 and returned for 45 yards, touchdown",1.420,-7.000
2,,,,BAL 2,12,21,Jeff Wilkins kicks extra point good,0.000,0.000
2,,,,STL 30,12,21,"Jeff Wilkins kicks off 69 yards, returned by Lamont Brightful for 19 yards (tackle by DeJuan Groce)",0.000,0.280
2,4:38,1,10,BAL 20,12,21,Kyle Boller pass complete to Todd Heap for 10 yards (tackle by Tyoka Jackson),0.280,0.940
2,4:14,1,10,BAL 30,12,21,Jamal Lewis left end for 2 yards (tackle by Adam Archuleta),0.940,0.660
2,3:49,2,8,BAL 32,12,21,Kyle Boller pass incomplete intended for Travis Taylor,0.660,-0.030
2,3:39,,,,12,21,Timeout #2 by Baltimore Ravens,0.000,-0.030
2,3:39,3,8,BAL 32,12,21,Kyle Boller pass complete to Todd Heap for 9 yards (tackle by Pisa Tinoisamoa),-0.030,1.660
2,3:03,1,10,BAL 41,12,21,Kyle Boller pass incomplete intended for Alan Ricard (defended by Jerametrius Butler),1.660,1.120
2,2:53,2,10,BAL 41,12,21,Kyle Boller pass incomplete intended for Travis Taylor (defended by Travis Fisher),1.120,0.430
2,2:49,3,10,BAL 41,12,21,"Kyle Boller pass incomplete intended for Todd Heap. Penalty on Adam Archuleta: Defensive Pass Interference, 28 yards (no play)",0.430,3.510
2,2:43,1,10,STL 31,12,21,Jamal Lewis left tackle for 2 yards (tackle by Adam Archuleta and Tyoka Jackson),3.510,3.240
2,2:06,2,8,STL 29,12,21,Kyle Boller pass complete to Travis Taylor for 25 yards (tackle by Aeneas Williams),3.240,6.280
2,2:00,1,4,STL 4,12,21,Jamal Lewis up the middle for 3 yards (tackle by Travis Fisher and Grant Wistrom),6.280,5.910
2,1:24,2,1,STL 1,18,21,"Kyle Boller pass complete to Jonathan Ogden for 1 yard, touchdown",5.910,7.000
2,,,,STL 2,19,21,Matt Stover kicks extra point good,0.000,0.000
2,,,,BAL 30,19,21,"Wade Richey kicks off 74 yards, touchback",0.000,0.280
2,1:19,1,10,STL 20,19,21,Marc Bulger pass complete to Dane Looker for 8 yards (tackle by Ed Reed),0.280,0.810
2,1:02,2,2,STL 28,19,21,Marc Bulger sacked by Anthony Weaver for -7 yards. Penalty on Isaac Bruce: Illegal Shift (Declined),0.810,-0.820
2,0:59,3,9,STL 21,19,21,"Marc Bulger pass complete to Torry Holt for 14 yards (tackle by Ed Reed). Penalty on Adam Timmerman: Offensive Holding, 10 yards (no play)",-0.820,-2.470
2,0:50,3,19,STL 11,19,21,Marc Bulger pass complete to Marshall Faulk for 3 yards (tackle by Peter Boulware),-2.470,-2.470
2,0:43,,,,19,21,Timeout #3 by Baltimore Ravens,0.000,-2.470
2,0:43,4,16,STL 14,19,21,"Sean Landeta punts 39 yards, fair catch by Lamont Brightful",-2.470,-2.060
2,0:36,1,10,BAL 47,19,21,Kyle Boller pass incomplete intended for Travis Taylor,2.060,1.520
2,0:30,2,10,BAL 47,19,21,Kyle Boller pass incomplete intended for Todd Heap (defended by Adam Archuleta),1.520,0.830
2,0:27,,,,19,21,Timeout #4 by Baltimore Ravens,0.000,0.830
2,0:24,3,10,BAL 47,19,21,Chester Taylor right tackle for 6 yards (tackle by Brian Young),0.830,0.130
Quarter,Time,Down,ToGo,Location,BAL,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 30,19,21,"Wade Richey kicks off 72 yards, returned by Mike Furrey for 27 yards (tackle by Adalius Thomas). Penalty on Jamie Duncan: Offensive Holding, 10 yards",0.000,-0.220
3,14:55,1,10,STL 15,19,21,Marc Bulger sacked by Anthony Weaver for -10 yards,-0.220,-1.510
3,14:25,2,20,STL 5,19,21,Marc Bulger pass incomplete intended for Torry Holt,-1.510,-2.590
3,14:19,3,20,STL 5,19,21,"Penalty on Orlando Pace: False Start, 2 yards (no play)",-2.590,-2.820
3,14:19,3,22,STL 3,19,21,Marshall Faulk up the middle for 16 yards (tackle by Ray Lewis),-2.820,-2.140
3,13:48,4,6,STL 19,19,21,"Sean Landeta punts 53 yards, returned by Lamont Brightful for 14 yards (tackle by Rich Coady)",-2.140,-1.730
3,13:35,1,10,BAL 42,19,21,"Chris Redman for no gain. Chris Redman fumbles, recovered by Chris Redman at BAL-34",1.730,0.510
3,13:05,2,15,BAL 37,19,21,Jamal Lewis up the middle for 1 yard (tackle by Tyoka Jackson),0.510,-0.030
3,12:24,3,14,BAL 38,19,21,Chris Redman sacked by Bryce Fisher for -6 yards,-0.030,-1.240
3,11:50,4,20,BAL 32,19,21,"Dave Zastudil punts 50 yards, returned by DeJuan Groce for 10 yards (tackle by Chester Taylor). DeJuan Groce fumbles, recovered by Chad Williams at STL-28",-1.240,3.710
3,11:33,1,10,STL 28,19,21,Chris Redman pass incomplete intended for Todd Heap,3.710,3.170
3,11:28,2,10,STL 28,19,21,Jamal Lewis up the middle for 2 yards (tackle by Ryan Pickett and Tyoka Jackson),3.170,2.740
3,10:48,3,8,STL 26,19,21,Chester Taylor left tackle for 3 yards (tackle by Bryce Fisher),2.740,1.980
3,10:26,4,5,STL 23,22,21,Matt Stover 41 yard field goal good,1.980,3.000
3,,,,BAL 30,22,21,"Wade Richey kicks off 64 yards, returned by Arlen Harris for 37 yards (tackle by Raymond Walls)",0.000,1.800
3,10:14,1,10,STL 43,22,21,Marshall Faulk up the middle for 3 yards (tackle by Kelly Gregg),1.800,1.660
3,9:39,2,7,STL 46,22,21,Marc Bulger pass complete to Brandon Manumaleuna for 5 yards (tackle by Ed Hartwell),1.660,1.620
3,8:54,3,2,BAL 49,22,21,Marc Bulger pass incomplete intended for Torry Holt (defended by Adalius Thomas),1.620,0.000
3,8:47,,,,22,21,Timeout #1 by Baltimore Ravens,0.000,0.000
3,8:47,4,2,BAL 49,22,21,"Sean Landeta punts 38 yards, fair catch by Lamont Brightful",0.000,0.370
3,8:40,1,10,BAL 11,22,21,Chris Redman right end for 4 yards (tackle by Bryce Fisher),-0.370,-0.430
3,8:03,2,6,BAL 15,22,21,Alan Ricard up the middle for 3 yards (tackle by Robert W. Thomas),-0.430,-0.600
3,7:24,3,3,BAL 18,22,21,Chris Redman pass incomplete intended for Travis Taylor,-0.600,-2.240
3,7:19,4,3,BAL 18,22,21,"Dave Zastudil punts 47 yards, returned by Mike Furrey for 5 yards (tackle by Chester Taylor)",-2.240,-1.600
3,7:08,1,10,STL 40,22,21,Marc Bulger pass incomplete intended for Isaac Bruce,1.600,1.050
3,7:02,2,10,STL 40,22,21,Marshall Faulk up the middle for 5 yards (tackle by Terrell Suggs),1.050,1.030
3,6:29,3,5,STL 45,22,21,Marc Bulger sacked by Tom Knight and Ray Lewis for -10 yards,1.030,-1.040
3,5:53,4,15,STL 35,22,21,"Sean Landeta punts 51 yards, returned by Lamont Brightful for 24 yards (tackle by Bryce Fisher). Penalty on Terry Jones: Illegal Block Above the Waist, 10 yards",-1.040,0.220
3,5:40,1,10,BAL 15,22,21,Alan Ricard up the middle for 1 yard (tackle by Grant Wistrom),-0.220,-0.580
3,5:08,2,9,BAL 16,22,21,Chris Redman pass incomplete intended for Travis Taylor is intercepted by Jerametrius Butler at BAL-49 and returned for 14 yards (tackle by Travis Taylor),-0.580,-3.250
3,4:54,1,10,BAL 35,22,21,Marc Bulger pass incomplete intended for Torry Holt is intercepted by Ed Reed at BAL-0,3.250,-0.280
3,4:46,1,10,BAL 20,22,21,Jamal Lewis right tackle for 5 yards (tackle by Ryan Pickett and Tommy Polley),0.280,0.410
3,4:06,2,5,BAL 25,22,21,Jamal Lewis right tackle for 6 yards (tackle by Aeneas Williams and Tommy Polley),0.410,1.000
3,3:22,1,10,BAL 31,22,21,Jamal Lewis left tackle for 1 yard (tackle by Pisa Tinoisamoa and Ryan Pickett),1.000,0.600
3,2:44,2,9,BAL 32,22,21,Chris Redman sacked by Tyoka Jackson for -6 yards,0.600,-0.890
3,2:09,3,15,BAL 26,22,21,Chris Redman pass incomplete intended for Marcus Robinson (defended by Travis Fisher),-0.890,-1.630
3,2:00,4,15,BAL 26,22,21,Dave Zastudil punts 37 yards,-1.630,-1.400
3,1:54,1,10,STL 37,22,21,Marc Bulger pass incomplete intended for Torry Holt,1.400,0.860
3,1:51,2,10,STL 37,22,21,Marc Bulger pass incomplete intended for Dane Looker (defended by Marques Douglas),0.860,0.170
3,1:47,3,10,STL 37,22,21,Marc Bulger pass complete to Dane Looker for 24 yards (tackle by Tom Knight),0.170,2.980
3,1:06,1,10,BAL 39,22,21,Marshall Faulk left end for 2 yards (tackle by Gary Baxter),2.980,2.710
3,0:21,2,8,BAL 37,22,21,Marc Bulger pass complete to Dane Looker for 6 yards (tackle by Will Demps),2.710,2.810
Quarter,Time,Down,ToGo,Location,BAL,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,2,BAL 31,22,21,Marc Bulger pass incomplete intended for Dane Looker,2.810,1.400
4,14:57,,,,22,21,Timeout #1 by St. Louis Rams,0.000,1.400
4,14:57,4,2,BAL 31,22,24,Jeff Wilkins 49 yard field goal good,1.400,3.000
4,,,,STL 30,22,24,"Jeff Wilkins kicks off 71 yards, returned by Lamont Brightful for 31 yards (tackle by Jeff Wilkins)",0.000,0.940
4,14:45,1,10,BAL 30,22,24,Todd Heap left end for 5 yards (tackle by Tommy Polley and Pisa Tinoisamoa),0.940,1.070
4,14:09,2,5,BAL 35,22,24,Jamal Lewis up the middle for 3 yards (tackle by Grant Wistrom),1.070,0.760
4,13:30,3,2,BAL 38,22,24,Chris Redman pass complete to Todd Heap for 5 yards (tackle by Robert W. Thomas),0.760,1.800
4,12:54,1,10,BAL 43,22,24,Jamal Lewis right guard for 2 yards (tackle by Tommy Polley),1.800,1.520
4,12:15,2,8,BAL 45,22,24,"Chris Redman pass incomplete intended for Frank Sanders (defended by Tommy Polley). Penalty on Casey Rabach: Offensive Holding, 10 yards (no play)",1.520,0.170
4,12:06,2,18,BAL 35,22,24,Chester Taylor right guard for 5 yards (tackle by Bryce Fisher),0.170,0.170
4,11:23,3,13,BAL 40,22,24,Chris Redman pass incomplete intended for Todd Heap is intercepted by Tommy Polley at STL-42 and returned for 22 yards (tackle by Chester Taylor),0.170,-3.180
4,11:13,1,10,BAL 36,22,24,Marshall Faulk up the middle for -2 yards (tackle by Ed Hartwell),3.180,2.370
4,10:38,2,12,BAL 38,22,24,Marc Bulger pass complete to Brandon Manumaleuna for 10 yards (tackle by Chad Williams),2.370,3.010
4,10:02,3,2,BAL 28,22,24,Marc Bulger pass complete to Marshall Faulk for no gain,3.010,1.700
4,9:14,4,2,BAL 28,22,27,Jeff Wilkins 46 yard field goal good,1.700,3.000
4,,,,STL 30,22,27,"Jeff Wilkins kicks off 70 yards, touchback",0.000,0.280
4,9:08,1,10,BAL 20,22,27,Jamal Lewis left end for no gain (tackle by Pisa Tinoisamoa),0.280,-0.270
4,8:30,2,10,BAL 20,22,27,Chris Redman pass complete to Jamal Lewis for 16 yards (tackle by Aeneas Williams),-0.270,1.330
4,8:02,1,10,BAL 36,22,27,"Jamal Lewis up the middle for no gain (tackle by Pisa Tinoisamoa and Tommy Polley). Jamal Lewis fumbles (forced by Pisa Tinoisamoa), recovered by Brian Young at BAL-35 (tackle by Frank Sanders)",1.330,-3.250
4,7:54,1,10,BAL 35,22,27,Marshall Faulk up the middle for 7 yards (tackle by Ed Reed),3.250,3.650
4,7:15,2,3,BAL 28,22,27,Marshall Faulk right guard for 2 yards (tackle by Kelly Gregg),3.650,3.200
4,6:32,3,1,BAL 26,22,27,Marshall Faulk left tackle for no gain (tackle by Ed Hartwell),3.200,1.890
4,5:47,4,1,BAL 26,22,27,"Penalty on Andy McCollum: False Start, 5 yards (no play)",1.890,1.340
4,5:37,4,6,BAL 31,22,30,Jeff Wilkins 48 yard field goal good,1.340,3.000
4,,,,STL 30,22,30,"Jeff Wilkins kicks off 75 yards, touchback",0.000,0.280
4,5:25,1,10,BAL 20,22,30,Chris Redman pass complete to Terry Jones for 5 yards (tackle by Jerametrius Butler),0.280,0.410
4,4:57,2,5,BAL 25,22,30,Chris Redman sacked by Robert W. Thomas for -10 yards,0.410,-1.860
4,4:24,3,15,BAL 15,22,30,Chris Redman sacked by Brian Young and Grant Wistrom for -7 yards,-1.860,-2.490
4,3:39,4,22,BAL 8,22,30,"Dave Zastudil punts 44 yards, returned by Mike Furrey for 17 yards (tackle by Joe Maese)",-2.490,-3.250
4,3:39,1,10,BAL 35,22,30,Marc Bulger pass complete to Isaac Bruce for 8 yards (tackle by Gary Baxter),3.250,3.780
4,3:33,2,2,BAL 27,22,30,Marshall Faulk left guard for 6 yards (tackle by Peter Boulware),3.780,4.170
4,2:49,1,10,BAL 21,22,30,Marc Bulger pass complete to Torry Holt for 10 yards (tackle by Chris McAlister),4.170,4.840
4,2:15,1,10,BAL 11,22,30,Marc Bulger pass incomplete intended for Torry Holt,4.840,4.140
4,2:08,2,10,BAL 11,22,30,Marshall Faulk left tackle for 2 yards (tackle by Ed Hartwell),4.140,3.530
4,2:00,3,8,BAL 9,22,30,Marshall Faulk up the middle for no gain (tackle by Anthony Weaver),3.530,2.830
4,1:45,,,,22,30,Timeout #2 by Baltimore Ravens,0.000,2.830
4,1:45,4,8,BAL 9,22,33,Jeff Wilkins 27 yard field goal good,2.830,3.000
4,,,,STL 30,22,33,"Jeff Wilkins kicks off 67 yards, returned by Lamont Brightful for 21 yards (tackle by Spencer Nead)",0.000,0.540
4,1:35,1,10,BAL 24,22,33,Chris Redman pass complete to Todd Heap for 14 yards (tackle by Travis Fisher),0.540,1.470
4,1:10,1,10,BAL 38,22,33,Chris Redman pass complete to Chester Taylor for 7 yards (tackle by Aeneas Williams),1.470,1.870
4,0:49,2,3,BAL 45,22,33,Chris Redman pass complete to Todd Heap for 7 yards (tackle by Aeneas Williams),1.870,2.390
4,0:40,,,,22,33,Timeout #3 by Baltimore Ravens,0.000,2.390
4,0:40,1,10,STL 48,22,33,Chris Redman pass complete to Todd Heap for 4 yards (tackle by Pisa Tinoisamoa),2.390,2.390
4,0:22,2,6,STL 44,22,33,"Chris Redman sacked by Tyoka Jackson for -9 yards. Chris Redman fumbles (forced by Tyoka Jackson), recovered by Brian Young at BAL-48 (tackle by Casey Rabach)",2.390,-2.460
4,0:14,1,10,BAL 47,22,33,Marc Bulger kneels for -1 yards (tackle by Kelly Gregg),2.460,1.780
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
