Unnamed: 0,CLE,PIT
First Downs,13,21
Rush-Yds-TDs,24-123-1,34-93-0
Cmp-Att-Yd-TD-INT,16-29-144-0-2,26-39-265-1-2
Sacked-Yards,3-22,0-0
Net Pass Yards,122,265
Total Yards,245,358
Fumbles-Lost,0-0,3-0
Turnovers,2,2
Penalties-Yards,7-50,7-45
Third Down Conv.,5-14,5-14
Fourth Down Conv.,0-0,1-1
Time of Possession,29:01,38:13
