Quarter,Time,Tm,Detail,CLE,PIT
1,8:11,Browns,Phil Dawson 28 yard field goal,3,0
2,14:21,Browns,Phil Dawson 28 yard field goal,6,0
,6:30,Steelers,Todd Peterson 19 yard field goal,6,3
,0:23,Steelers,Todd Peterson 27 yard field goal,6,6
4,14:57,Browns,Jamel White 4 yard rush (Phil Dawson kick),13,6
,2:02,Steelers,Plaxico Burress 10 yard pass from Tommy Maddox (Todd Peterson kick),13,13
OT,7:46,Steelers,Todd Peterson 31 yard field goal,13,16
