Quarter,Time,Tm,Detail,CHI,SFO
2.0,2:03,49ers,Frank Gore 14 yard rush (Joe Nedney kick),0,7
,0:02,Bears,Robbie Gould 50 yard field goal,3,7
3.0,7:27,Bears,Robbie Gould 38 yard field goal,6,7
4.0,10:11,49ers,Joe Nedney 21 yard field goal,6,10
