Quarter,Time,Down,ToGo,Location,CHI,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Joe Nedney kicks off 67 yards, returned by Danieal Manning for 15 yards (tackle by Jason Hill)",0.000,0.040
1,14:53,1,10,CHI 18,0,0,Jay Cutler pass complete short right to Matt Forte for 2 yards (tackle by Manny Lawson),0.040,-0.130
1,14:15,2,8,CHI 20,0,0,Jay Cutler pass incomplete short middle intended for Desmond Clark,-0.130,-0.910
1,14:09,3,8,CHI 20,0,0,Jay Cutler pass complete short middle to Matt Forte for 2 yards (tackle by Patrick Willis and Justin Smith),-0.910,-1.900
1,13:34,4,6,CHI 22,0,0,"Brad Maynard punts 41 yards, returned by Brandon Jones for 4 yards (tackle by Tim Shaw)",-1.900,-1.660
1,13:24,1,10,SFO 41,0,0,Alex Smith pass incomplete deep right intended for Michael Crabtree,1.660,1.120
,,,,,,,"SFO challenged the incomplete pass ruling, and the play was upheld.",,
1,13:16,2,10,SFO 41,0,0,Alex Smith pass complete short right to Michael Crabtree for 15 yards (tackle by Danieal Manning),1.120,2.650
1,12:29,1,10,CHI 44,0,0,Frank Gore right guard for 5 yards (tackle by Hunter Hillenmeyer and Lance Briggs),2.650,2.780
1,11:50,2,5,CHI 39,0,0,Frank Gore middle for 3 yards (tackle by Nick Roach),2.780,2.480
1,11:05,3,2,CHI 36,0,0,Alex Smith pass complete short right to Michael Crabtree for 8 yards (tackle by Zackary Bowman). Penalty on Adewale Ogunleye: Defensive Offside (Declined),2.480,3.710
1,10:33,1,10,CHI 28,0,0,Alex Smith pass complete short left to Vernon Davis for 6 yards (tackle by Lance Briggs),3.710,3.980
1,9:59,2,4,CHI 22,0,0,"Frank Gore middle for 3 yards (tackle by Tommie Harris). Penalty on Tommie Harris: Defensive Offside, 5 yards (no play)",3.980,4.440
1,9:33,1,10,CHI 17,0,0,"Penalty on Vernon Davis: False Start, 5 yards (no play)",4.440,4.110
1,9:09,1,15,CHI 22,0,0,Frank Gore right end for 8 yards (tackle by Danieal Manning and Charles Tillman),4.110,4.320
1,8:29,2,7,CHI 14,0,0,Alex Smith pass incomplete short right intended for Michael Crabtree,4.320,3.500
1,8:23,3,7,CHI 14,0,0,Alex Smith sacked by Tommie Harris for -7 yards,3.500,2.060
1,7:55,4,14,CHI 21,0,0,Joe Nedney 39 yard field goal no good,2.060,-0.870
1,7:49,1,10,CHI 29,0,0,Matt Forte right guard for no gain (tackle by Takeo Spikes),0.870,0.330
1,7:15,2,10,CHI 29,0,0,Matt Forte middle for 1 yard (tackle by Parys Haralson),0.330,-0.230
1,6:31,3,9,CHI 30,0,0,Jay Cutler pass complete short right to Greg Olsen for 5 yards (tackle by Mark Roman),-0.230,-1.040
1,5:54,4,4,CHI 35,0,0,Brad Maynard punts 39 yards,-1.040,-0.670
1,5:42,1,10,SFO 26,0,0,Frank Gore middle for 4 yards (tackle by Alex Brown),0.670,0.670
1,5:01,2,6,SFO 30,0,0,Frank Gore middle for no gain (tackle by Adewale Ogunleye),0.670,-0.030
1,4:18,3,6,SFO 30,0,0,Alex Smith pass complete short middle to Jason Hill for 5 yards (tackle by Charles Tillman),-0.030,-1.040
1,3:56,4,1,SFO 35,0,0,"Andy Lee punts 46 yards, returned by Devin Hester for 2 yards (tackle by Arnaz Battle). Penalty on Adrian Peterson: Illegal Block Above the , 10 yards",-1.040,0.370
1,3:46,1,10,CHI 11,0,0,Jay Cutler pass complete short left to Desmond Clark for 7 yards (tackle by Michael Lewis and Patrick Willis),-0.370,0.000
1,3:15,2,3,CHI 18,0,0,Matt Forte left guard for 2 yards (tackle by Patrick Willis),0.000,-0.370
1,2:37,3,1,CHI 20,0,0,Matt Forte middle for 2 yards (tackle by Patrick Willis),-0.370,0.410
1,1:56,1,10,CHI 22,0,0,Jay Cutler pass incomplete short right intended for Devin Hester,0.410,-0.130
1,1:52,2,10,CHI 22,0,0,Jay Cutler pass complete short right to Greg Olsen for 16 yards (tackle by Dashon Goldson),-0.130,1.470
1,1:17,1,10,CHI 38,0,0,Matt Forte right guard for 2 yards (tackle by Patrick Willis),1.470,1.190
1,0:42,2,8,CHI 40,0,0,Jay Cutler pass complete deep right to Greg Olsen for 20 yards,1.190,2.920
1,0:17,1,10,SFO 40,0,0,Jay Cutler pass complete short middle to Greg Olsen for 7 yards (tackle by Patrick Willis),2.920,3.320
Quarter,Time,Down,ToGo,Location,CHI,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,SFO 33,0,0,Matt Forte right tackle for 2 yards (tackle by Patrick Willis),3.320,2.870
2,14:25,3,1,SFO 31,0,0,Matt Forte right guard for 1 yard (tackle by Takeo Spikes),2.870,3.580
2,13:46,1,10,SFO 30,0,0,Jay Cutler pass incomplete deep left intended for Greg Olsen,3.580,3.030
2,13:40,2,10,SFO 30,0,0,Matt Forte left guard for 16 yards (tackle by Takeo Spikes and Dre' Bly),3.030,4.650
