Unnamed: 0,CHI,SFO
First Downs,19,12
Rush-Yds-TDs,21-43-0,28-110-1
Cmp-Att-Yd-TD-INT,29-52-307-0-5,16-23-118-0-1
Sacked-Yards,0-0,2-12
Net Pass Yards,307,106
Total Yards,350,216
Fumbles-Lost,1-0,1-0
Turnovers,5,1
Penalties-Yards,10-75,9-77
Third Down Conv.,8-17,6-14
Fourth Down Conv.,0-0,0-1
Time of Possession,28:27,31:33
