Unnamed: 0,GNB,DET
First Downs,7,30
Rush-Yds-TDs,15-24-0,43-241-2
Cmp-Att-Yd-TD-INT,10-20-139-0-1,22-35-330-3-2
Sacked-Yards,7-37,1-10
Net Pass Yards,102,320
Total Yards,126,561
Fumbles-Lost,2-2,2-2
Turnovers,3,4
Penalties-Yards,3-25,5-50
Third Down Conv.,2-10,9-12
Fourth Down Conv.,0-0,0-0
Time of Possession,19:34,40:26
