Quarter,Time,Tm,Detail,DET,ARI
2,14:07,Lions,Matt Prater 55 yard field goal,3,0
,12:23,Lions,Danny Amendola 47 yard pass from Matthew Stafford (Matt Prater kick),10,0
,3:38,Lions,Kenny Golladay 9 yard pass from Matthew Stafford (Matt Prater kick),17,0
,1:19,Cardinals,Zane Gonzalez 20 yard field goal,17,3
3,4:38,Cardinals,Zane Gonzalez 42 yard field goal,17,6
4,14:47,Lions,T.J. Hockenson 23 yard pass from Matthew Stafford (Matt Prater kick),24,6
,11:09,Cardinals,Zane Gonzalez 34 yard field goal,24,9
,5:57,Cardinals,David Johnson 27 yard pass from Kyler Murray (Zane Gonzalez kick),24,16
,0:43,Cardinals,Larry Fitzgerald 4 yard pass from Kyler Murray (Christian Kirk pass from Kyler Murray),24,24
OT,7:17,Cardinals,Zane Gonzalez 28 yard field goal,24,27
,3:48,Lions,Matt Prater 33 yard field goal,27,27
