Unnamed: 0,DET,ARI
First Downs,23,21
Rush-Yds-TDs,32-116-0,23-112-0
Cmp-Att-Yd-TD-INT,27-45-385-3-0,29-54-308-2-1
Sacked-Yards,3-24,5-33
Net Pass Yards,361,275
Total Yards,477,387
Fumbles-Lost,3-2,0-0
Turnovers,2,1
Penalties-Yards,9-59,7-35
Third Down Conv.,6-18,9-22
Fourth Down Conv.,0-1,0-0
Time of Possession,39:23,30:37
