Quarter,Time,Tm,Detail,CHI,GNB
1.0,8:54,Bears,Cairo Santos 50 yard field goal,3,0
2.0,7:20,Packers,Dontayvion Wicks 10 yard pass from Jordan Love (Anders Carlson kick),3,7
,1:17,Bears,Cairo Santos 39 yard field goal,6,7
3.0,9:47,Packers,Dontayvion Wicks 12 yard pass from Jordan Love (Anders Carlson kick),6,14
4.0,13:03,Bears,Cairo Santos 35 yard field goal,9,14
,10:54,Packers,Anders Carlson 25 yard field goal,9,17
