Unnamed: 0,CHI,GNB
First Downs,13,24
Rush-Yds-TDs,25-75-0,27-124-0
Cmp-Att-Yd-TD-INT,11-16-148-0-0,27-32-316-2-0
Sacked-Yards,5-31,1-8
Net Pass Yards,117,308
Total Yards,192,432
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,1-10,1-5
Third Down Conv.,3-11,7-10
Fourth Down Conv.,1-1,0-0
Time of Possession,28:36,31:24
