Quarter,Time,Down,ToGo,Location,NYJ,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"Mike Nugent kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,BAL 20,0,0,Willis McGahee up the middle for 3 yards (tackle by Bryan Thomas and Dewayne Robertson),0.280,0.140
1,14:27,2,7,BAL 23,0,0,Willis McGahee right tackle for 4 yards (tackle by Eric Barton),0.140,-0.030
1,13:49,3,3,BAL 27,0,0,Kyle Boller pass incomplete short right intended for Derrick Mason (defended by Eric Barton),-0.030,-1.570
1,13:44,4,3,BAL 27,0,0,"Sam Koch punts 47 yards, returned by Leon Washington for 6 yards (tackle by Dennis Haley)",-1.570,-1.070
1,13:32,1,10,NYJ 32,0,0,Thomas Jones up the middle for 1 yard (tackle by Ray Lewis and Haloti Ngata),1.070,0.660
1,12:59,2,9,NYJ 33,0,0,Kellen Clemens pass incomplete short right intended for Jerricho Cotchery,0.660,-0.030
1,12:54,3,9,NYJ 33,0,0,Kellen Clemens pass incomplete deep right intended for Laveranues Coles is intercepted by Ed Reed at BAL-49,-0.030,-2.190
1,12:45,1,10,BAL 49,0,0,"Penalty on Adam Terry: False Start, 5 yards (no play)",2.190,1.860
1,12:45,1,15,BAL 44,0,0,Kyle Boller pass complete short left to Derrick Mason for 8 yards (tackle by Victor Hobson),1.860,2.050
1,12:11,2,7,NYJ 48,0,0,Willis McGahee left tackle for 2 yards (tackle by Bryan Thomas),2.050,1.620
1,11:31,3,5,NYJ 46,0,0,Kyle Boller pass incomplete deep right intended for Derrick Mason (defended by Darrelle Revis),1.620,0.200
1,11:24,4,5,NYJ 46,0,0,"Sam Koch punts 46 yards, touchback",0.200,-0.280
1,11:16,1,10,NYJ 20,0,0,Kellen Clemens left tackle for 1 yard (tackle by Terrell Suggs),0.280,-0.130
1,10:41,2,9,NYJ 21,0,0,Thomas Jones up the middle for 2 yards (tackle by Dawan Landry),-0.130,-0.560
1,9:58,3,7,NYJ 23,0,0,Kellen Clemens pass incomplete deep right intended for Justin McCareins,-0.560,-1.830
1,9:50,4,7,NYJ 23,0,0,"Ben Graham punts 46 yards, returned by Yamon Figurs for 4 yards (tackle by Wallace Wright)",-1.830,-1.270
1,9:41,1,10,BAL 35,0,0,Kyle Boller pass complete short right to Le'Ron McClain for 9 yards (tackle by Bryan Thomas),1.270,1.940
1,9:05,2,1,BAL 44,0,0,Le'Ron McClain up the middle for 4 yards (tackle by Victor Hobson),1.940,2.130
1,8:32,1,10,BAL 48,0,0,Kyle Boller pass complete short left to Demetrius Williams for 13 yards (tackle by David Barrett),2.130,2.980
1,8:11,1,10,NYJ 39,0,0,Willis McGahee left tackle for 7 yards (tackle by Jonathan Vilma),2.980,3.390
1,7:34,2,3,NYJ 32,0,0,Kyle Boller pass complete short right to Quinn Sypniewski for 13 yards (tackle by Shaun Ellis),3.390,4.310
1,6:53,1,10,NYJ 19,0,0,Willis McGahee up the middle for -2 yards (tackle by Dewayne Robertson),4.310,3.490
1,6:17,2,12,NYJ 21,0,0,Kyle Boller pass complete short left to Derrick Mason for 6 yards (tackle by Darrelle Revis),3.490,3.580
1,5:49,3,6,NYJ 15,0,0,Kyle Boller pass complete short left to Musa Smith for 10 yards (tackle by David Barrett),3.580,6.060
1,5:21,1,5,NYJ 5,0,0,Willis McGahee left guard for 2 yards (tackle by Eric Barton and Jonathan Vilma),6.060,5.530
1,4:36,2,3,NYJ 3,0,0,"Penalty on Quinn Sypniewski: False Start, 5 yards (no play)",5.530,4.570
1,4:20,2,8,NYJ 8,0,0,Willis McGahee up the middle for 6 yards (tackle by Erik Coleman and Kerry Rhodes),4.570,4.950
1,3:42,3,2,NYJ 2,0,6,"Kyle Boller pass complete short right to Willis McGahee for 2 yards, touchdown",4.950,7.000
1,,,,NYJ 2,0,7,Matt Stover kicks extra point good,0.000,0.000
1,,,,BAL 30,0,7,"Matt Stover kicks off 70 yards, touchback",0.000,0.280
1,3:36,1,10,NYJ 20,0,7,Thomas Jones up the middle for 5 yards (tackle by Ray Lewis),0.280,0.410
1,3:06,2,5,NYJ 25,0,7,Thomas Jones left guard for -3 yards (tackle by Terrell Suggs),0.410,-0.690
1,2:43,3,8,NYJ 22,0,7,"Kellen Clemens for 1 yard (tackle by Terrell Suggs). Penalty on BAL: Defensive 12 On-field, 5 yards (no play)",-0.690,-0.030
1,2:19,3,3,NYJ 27,0,7,Kellen Clemens pass complete short middle to Laveranues Coles for 8 yards (tackle by Corey Ivy),-0.030,1.270
1,1:49,1,10,NYJ 35,0,7,Thomas Jones right tackle for 6 yards (tackle by Gerome Sapp),1.270,1.530
1,1:12,2,4,NYJ 41,0,7,Kellen Clemens pass incomplete short right intended for Sean Ryan (defended by Chris McAlister),1.530,0.830
1,0:57,,,,0,7,Timeout #1 by New York Jets,0.000,0.830
1,0:57,3,4,NYJ 41,0,7,Kellen Clemens pass complete short right to Thomas Jones for 21 yards (tackle by Corey Ivy),0.830,3.050
1,0:25,1,10,BAL 38,0,7,Thomas Jones right guard for 6 yards (tackle by Ray Lewis),3.050,3.320
