Unnamed: 0,NYJ,BAL
First Downs,18,17
Rush-Yds-TDs,27-69-0,34-118-0
Cmp-Att-Yd-TD-INT,19-37-260-1-2,23-35-185-2-0
Sacked-Yards,4-25,0-0
Net Pass Yards,235,185
Total Yards,304,303
Fumbles-Lost,1-0,1-0
Turnovers,2,0
Penalties-Yards,2-10,11-100
Third Down Conv.,8-18,8-18
Fourth Down Conv.,1-1,0-1
Time of Possession,28:55,31:05
