Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Alex Mack,C,91,100%,0,0%,4,13%
Jake Matthews,T,91,100%,0,0%,4,13%
Kaleb McGary,T,91,100%,0,0%,4,13%
Wes Schweitzer,C,91,100%,0,0%,4,13%
Matt Ryan,QB,91,100%,0,0%,0,0%
Calvin Ridley,WR,85,93%,0,0%,0,0%
Christian Blake,WR,82,90%,0,0%,7,23%
Jamon Brown,G,72,79%,0,0%,4,13%
Russell Gage,WR,62,68%,0,0%,9,30%
Devonta Freeman,RB,60,66%,0,0%,0,0%
Jaeden Graham,TE,53,58%,0,0%,6,20%
Carson Meier,TE,26,29%,0,0%,8,27%
Justin Hardy,WR,26,29%,0,0%,0,0%
Brian Hill,RB,24,26%,0,0%,17,57%
James Carpenter,G,19,21%,0,0%,0,0%
Keith Smith,FB,16,18%,0,0%,20,67%
Ty Sambrailo,T,8,9%,0,0%,3,10%
Olamide Zaccheaus,WR,7,8%,0,0%,20,67%
Kenjon Barner,RB,6,7%,0,0%,11,37%
Kendall Sheffield,CB,0,0%,49,100%,6,20%
Desmond Trufant,CB,0,0%,49,100%,0,0%
De'Vondre Campbell,LB,0,0%,46,94%,6,20%
Ricardo Allen,SS,0,0%,46,94%,0,0%
Deion Jones,LB,0,0%,44,90%,6,20%
Damontae Kazee,SS,0,0%,41,84%,12,40%
Isaiah Oliver,CB,0,0%,40,82%,10,33%
Grady Jarrett,DT,0,0%,40,82%,6,20%
Vic Beasley,LB,0,0%,34,69%,0,0%
Tyeler Davison,DT,0,0%,29,59%,10,33%
Adrian Clayborn,DE,0,0%,28,57%,0,0%
Takkarist McKinley,DE,0,0%,25,51%,0,0%
Allen Bailey,DE,0,0%,19,39%,6,20%
Foyesade Oluokun,LB,0,0%,17,35%,19,63%
Jack Crawford,DT,0,0%,12,24%,7,23%
Jamal Carter,SS,0,0%,10,20%,10,33%
Jacob Tuioti-Mariner,DT,0,0%,9,18%,5,17%
Sharrod Neasman,SS,0,0%,1,2%,6,20%
Jermaine Grace,LB,0,0%,0,0%,20,67%
Kemal Ishmael,SS,0,0%,0,0%,19,63%
Blidi Wreh-Wilson,CB,0,0%,0,0%,17,57%
Qadree Ollison,RB,0,0%,0,0%,13,43%
Younghoe Koo,K,0,0%,0,0%,10,33%
Jordan Miller,CB,0,0%,0,0%,7,23%
Josh Harris,LS,0,0%,0,0%,7,23%
Ryan Allen,P,0,0%,0,0%,7,23%
