Unnamed: 0,NOR,ATL
First Downs,14,27
Rush-Yds-TDs,18-95-1,26-89-0
Cmp-Att-Yd-TD-INT,18-31-184-1-0,35-50-312-2-2
Sacked-Yards,0-0,9-53
Net Pass Yards,184,259
Total Yards,279,348
Fumbles-Lost,0-0,2-1
Turnovers,0,3
Penalties-Yards,9-121,4-18
Third Down Conv.,2-10,6-16
Fourth Down Conv.,0-0,2-4
Time of Possession,24:23,35:37
