Quarter,Time,Tm,Detail,NOR,ATL
1.0,11:07,Saints,Taysom Hill 3 yard pass from Drew Brees (Wil Lutz kick),7,0
2.0,12:35,Falcons,Jaeden Graham 18 yard pass from Matt Ryan (Younghoe Koo kick failed),7,6
,9:05,Saints,Wil Lutz 22 yard field goal,10,6
,1:53,Saints,Taysom Hill 30 yard rush (Wil Lutz kick),17,6
,0:03,Falcons,Younghoe Koo 45 yard field goal,17,9
3.0,5:54,Saints,Wil Lutz 47 yard field goal,20,9
4.0,10:14,Saints,Wil Lutz 42 yard field goal,23,9
,6:27,Saints,Wil Lutz 45 yard field goal,26,9
,3:26,Falcons,Russell Gage 13 yard pass from Matt Ryan (pass failed),26,15
,1:56,Falcons,Younghoe Koo 43 yard field goal,26,18
