Unnamed: 0,CIN,BAL
First Downs,23,21
Rush-Yds-TDs,24-98-0,31-192-1
Cmp-Att-Yd-TD-INT,29-36-382-3-1,19-33-172-0-1
Sacked-Yards,3-27,1-8
Net Pass Yards,355,164
Total Yards,453,356
Fumbles-Lost,1-1,2-1
Turnovers,2,2
Penalties-Yards,5-45,4-30
Third Down Conv.,2-9,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,31:20,28:40
