Unnamed: 0_level_0,Unnamed: 1_level_0,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Marquez Callaway,NOR,0,0,,0,0,1,16,16.0,0,16
Austin Carr,NOR,0,0,,0,0,1,1,1.0,0,1
Ty Montgomery,NOR,2,57,28.5,0,33,0,0,,0,0
Dwayne Washington,NOR,1,17,17.0,0,17,0,0,,0,0
