Quarter,Time,Tm,Detail,MIN,NOR
1.0,12:11,Saints,Alvin Kamara 40 yard rush (Wil Lutz kick),0,7
,8:46,Vikings,Dalvin Cook 15 yard rush (Dan Bailey kick),7,7
,5:10,Saints,Alvin Kamara 1 yard rush (Wil Lutz kick),7,14
2.0,14:12,Saints,Wil Lutz 30 yard field goal,7,17
,10:14,Vikings,Mike Boone 4 yard rush (Dan Bailey kick),14,17
,0:38,Saints,Alvin Kamara 5 yard rush (Wil Lutz kick),14,24
3.0,9:41,Vikings,Irv Smith Jr. 2 yard pass from Kirk Cousins (Dan Bailey kick failed),20,24
,4:38,Saints,Alvin Kamara 6 yard rush (Wil Lutz kick),20,31
,0:22,Vikings,Irv Smith Jr. 4 yard pass from Kirk Cousins (Dan Bailey kick),27,31
4.0,12:01,Saints,Alvin Kamara 7 yard rush (Wil Lutz kick),27,38
,4:00,Saints,Taysom Hill 1 yard rush (Wil Lutz kick),27,45
,2:10,Vikings,Adam Thielen 1 yard pass from Kirk Cousins (pass failed),33,45
,1:50,Saints,Alvin Kamara 3 yard rush (Wil Lutz kick),33,52
