Unnamed: 0,MIN,NOR
First Downs,25,36
Rush-Yds-TDs,17-90-2,45-264-7
Cmp-Att-Yd-TD-INT,27-41-291-3-0,21-28-319-0-2
Sacked-Yards,2-17,0-0
Net Pass Yards,274,319
Total Yards,364,583
Fumbles-Lost,2-0,0-0
Turnovers,0,2
Penalties-Yards,3-20,4-38
Third Down Conv.,3-9,5-9
Fourth Down Conv.,1-2,1-1
Time of Possession,23:13,36:47
