Quarter,Time,Down,ToGo,Location,MIN,NOR,Detail,EPB,EPA
2,13:39,2,8,MIN 27,7,17,Kirk Cousins pass complete deep right to Adam Thielen for 19 yards (tackle by Marshon Lattimore and Janoris Jenkins),0.330,1.990
2,13:00,1,10,MIN 46,7,17,Kirk Cousins pass complete short left to Olabisi Johnson for 13 yards (tackle by Malcolm Jenkins),1.990,2.850
2,12:21,1,10,NOR 41,7,17,"Dalvin Cook left end for 8 yards (tackle by Malcolm Jenkins). Dalvin Cook fumbles, ball out of bounds at NO-33 (forced by Malcolm Jenkins)",2.850,3.390
2,11:53,2,2,NOR 33,7,17,Dalvin Cook right tackle for 1 yard (tackle by Malcolm Roach),3.390,2.810
2,11:16,,,,,,Timeout #1 by Minnesota Vikings,,
2,11:16,3,1,NOR 32,7,17,Dalvin Cook left end for 3 yards (tackle by P.J. Williams),2.810,3.640
2,10:43,1,10,NOR 29,7,17,Kirk Cousins pass complete short right to Justin Jefferson for 25 yards (tackle by P.J. Williams),3.640,6.280
2,10:21,1,4,NOR 4,13,17,"Mike Boone left end for 4 yards, touchdown",6.280,7.000
2,10:14,,,NOR 15,14,17,Dan Bailey kicks extra point good,0.000,0.000
2,10:14,,,MIN 35,14,17,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
2,10:14,1,10,NOR 25,14,17,Latavius Murray right guard for 7 yards (tackle by D.J. Wonnum and Anthony Harris),0.610,1.010
2,9:36,2,3,NOR 32,14,17,Latavius Murray right guard for 5 yards (tackle by Eddie Yarbrough),1.010,1.400
2,8:58,1,10,NOR 37,14,17,Alvin Kamara left guard for 4 yards (tackle by Eddie Yarbrough),1.400,1.400
2,8:16,2,6,NOR 41,14,17,Taysom Hill left end for 9 yards (tackle by Harrison Smith),1.400,2.260
2,7:42,1,10,NOR 50,14,17,"Alvin Kamara left tackle for 8 yards (tackle by Jeff Gladney). Penalty on Austin Carr: Illegal Formation, 5 yards (no play)",2.260,1.930
2,7:14,1,15,NOR 45,14,17,Drew Brees pass complete deep middle to Emmanuel Sanders for 31 yards (tackle by Eric Wilson and Harrison Hand),1.930,3.970
2,6:29,1,10,MIN 24,14,17,Alvin Kamara left guard for 1 yard (tackle by Blake Lynch),3.970,3.570
2,5:49,2,9,MIN 23,14,17,Alvin Kamara right guard for 3 yards (tackle by Ifeadi Odenigbo),3.570,3.270
2,5:10,3,6,MIN 20,14,17,Drew Brees pass short right intended for Jared Cook is intercepted by Harrison Hand at MIN-8 and returned for 4 yards,3.270,0.350
2,5:04,1,10,MIN 12,14,17,Kirk Cousins pass complete short right to Dalvin Cook for 8 yards (tackle by Demario Davis),-0.350,0.290
2,4:38,2,2,MIN 20,14,17,Dalvin Cook left guard for -2 yards (tackle by Malcolm Jenkins and Shy Tuttle),0.290,-0.720
2,3:59,3,4,MIN 18,14,17,Kirk Cousins sacked by and David Onyemata for -6 yards and Malcolm Jenkins for -6 yards,-0.720,-2.490
2,3:23,4,10,MIN 12,14,17,"Britton Colquitt punts 34 yards, fair catch by Marquez Callaway at MIN-46",-2.490,-2.520
2,3:15,,,,,,Timeout #2 by New Orleans Saints,,
