Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Dalvin Cook,MIN,15,73,1,4,47,3.1,26,1.7,0,
Ameer Abdullah,MIN,1,13,0,1,9,9.0,4,4.0,0,
Mike Boone,MIN,1,4,1,1,2,2.0,2,2.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Alvin Kamara,NOR,22,155,6,9,75,3.4,80,3.6,4,5.5
Latavius Murray,NOR,12,72,0,6,31,2.6,41,3.4,0,
Taysom Hill,NOR,5,18,1,3,13,2.6,5,1.0,1,5.0
Drew Brees,NOR,3,-3,0,0,-3,-1.0,0,0.0,0,
Michael Burton,NOR,2,10,0,2,5,2.5,5,2.5,0,
Emmanuel Sanders,NOR,1,12,0,1,9,9.0,3,3.0,0,
