Quarter,Time,Down,ToGo,Location,NWE,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 63 yards, returned by Bethel Johnson for 21 yards (tackle by Erik Flowers)",0.000,0.810
1,14:56,1,10,NWE 28,0,0,Corey Dillon right tackle for 14 yards (tackle by Adam Archuleta),0.810,1.730
1,14:19,1,10,NWE 42,0,0,"Tom Brady pass complete to Corey Dillon for 14 yards (tackle by Damione Lewis). Penalty on David Patten: Illegal Block Above the Waist, 10 yards",1.730,2.310
1,13:54,1,6,NWE 46,0,0,Tom Brady pass complete to Patrick Pass for 22 yards (tackle by Adam Archuleta),2.310,3.450
1,13:27,1,10,STL 32,0,0,Corey Dillon left tackle for -1 yards (tackle by Jimmy Kennedy),3.450,2.770
1,12:51,2,11,STL 33,0,0,Corey Dillon right end for 3 yards (tackle by Jerametrius Butler),2.770,2.480
1,12:09,3,8,STL 30,0,0,Tom Brady pass complete to Kevin Faulk for 5 yards (tackle by Adam Archuleta and Damione Lewis),2.480,1.900
1,11:30,4,3,STL 25,3,0,Adam Vinatieri 43 yard field goal good,1.900,3.000
1,,,,NWE 30,3,0,"Adam Vinatieri kicks off 62 yards, returned by Arlen Harris for 23 yards (tackle by Larry Izzo)",0.000,1.000
1,11:19,1,10,STL 31,3,0,Marshall Faulk right end for 2 yards (tackle by Ty Warren and Tedy Bruschi),1.000,0.730
1,10:38,2,8,STL 33,3,0,Marc Bulger pass complete to Brandon Manumaleuna for 3 yards (tackle by Asante Samuel),0.730,0.430
1,10:10,3,5,STL 36,3,0,Marc Bulger pass complete to Marshall Faulk for 4 yards (tackle by Rosevelt Colvin),0.430,-0.720
1,9:29,4,1,STL 40,3,0,"Sean Landeta punts 50 yards, returned by Kevin Faulk for 7 yards (tackle by Pisa Tinoisamoa)",-0.720,0.060
1,9:19,1,10,NWE 17,3,0,Tom Brady pass incomplete intended for David Patten (defended by Travis Fisher),-0.060,-0.580
1,9:14,2,10,NWE 17,3,0,Corey Dillon up the middle for no gain (tackle by Tommy Polley),-0.580,-1.250
1,8:32,3,10,NWE 17,3,0,Tom Brady pass complete to Patrick Pass for 9 yards (tackle by Damione Lewis),-1.250,-1.630
1,7:56,4,1,NWE 26,3,0,"Penalty on Je'Rod Cherry: False Start, 5 yards (no play)",-1.630,-1.960
1,7:46,4,6,NWE 21,3,0,"Josh Miller punts 41 yards, muffed catch by Shaun McDonald, recovered by Lonie Paxton and returned for no gain",-1.960,3.710
1,7:31,1,10,STL 28,3,0,Tom Brady pass complete to Troy Brown for 18 yards (tackle by Rich Coady),3.710,4.910
1,7:05,1,10,STL 10,3,0,Corey Dillon left guard for no gain (tackle by Ryan Pickett),4.910,4.190
1,6:26,2,10,STL 10,3,0,Tom Brady sacked by Tyoka Jackson for -3 yards,4.190,3.060
1,5:50,3,13,STL 13,3,0,Tom Brady pass incomplete intended for Kevin Faulk (defended by Damione Lewis),3.060,2.570
1,5:46,4,13,STL 13,6,0,Adam Vinatieri 31 yard field goal good,2.570,3.000
1,,,,NWE 30,6,0,"Adam Vinatieri kicks off 69 yards, returned by Arlen Harris for 21 yards (tackle by Don Davis)",0.000,0.410
1,5:35,1,10,STL 22,6,0,Marshall Faulk up the middle for 1 yard (tackle by Keith Traylor),0.410,0.000
1,5:00,2,9,STL 23,6,0,"Penalty on Kevin Curtis: False Start, 5 yards (no play)",0.000,-0.770
1,4:41,2,14,STL 18,6,0,Marc Bulger pass complete to Isaac Bruce for 20 yards (tackle by Eugene Wilson),-0.770,1.470
1,4:00,1,10,STL 38,6,0,Marc Bulger sacked by Ty Warren for -5 yards,1.470,0.250
1,3:24,2,15,STL 33,6,0,"Marc Bulger pass complete to Marshall Faulk for 6 yards (tackle by Tedy Bruschi). Penalty on Willie McGinest: Illegal Contact, 5 yards (no play)",0.250,1.470
1,2:57,1,10,STL 38,6,0,Marc Bulger pass complete to Isaac Bruce for 11 yards (tackle by Eugene Wilson),1.470,2.190
1,2:16,1,10,STL 49,6,0,Marshall Faulk right tackle for 10 yards (tackle by Dexter Reid),2.190,2.850
1,1:49,1,10,NWE 41,6,0,Steven Jackson left tackle for 1 yard (tackle by Mike Vrabel),2.850,2.440
1,1:04,2,9,NWE 40,6,0,Marc Bulger pass complete to Marshall Faulk for 1 yard (tackle by Tedy Bruschi),2.440,1.880
1,0:15,,,,6,0,Timeout #1 by St. Louis Rams,0.000,1.880
1,0:15,3,8,NWE 39,6,0,"Penalty on Marc Bulger: False Start, 5 yards (no play)",1.880,1.220
1,0:15,3,13,NWE 44,6,0,Marc Bulger sacked by Jarvis Green for -3 yards,1.220,0.130
Quarter,Time,Down,ToGo,Location,NWE,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,16,NWE 47,6,0,"Sean Landeta punts 41 yards, fair catch by Kevin Faulk",0.130,0.380
2,14:53,1,10,NWE 6,6,6,"Tom Brady sacked by Damione Lewis for -6 yards. Tom Brady fumbles (forced by Damione Lewis), recovered by Leonard Little at NWE--1, touchdown",-0.380,-7.000
2,,,,NWE 2,6,7,Jeff Wilkins kicks extra point good,0.000,0.000
2,,,,STL 30,6,7,"Jeff Wilkins kicks off 58 yards, returned by Patrick Pass for 24 yards (tackle by Jeff Wilkins)",0.000,1.330
2,14:36,1,10,NWE 36,6,7,Corey Dillon right tackle for 6 yards (tackle by Damione Lewis),1.330,1.600
2,13:53,2,4,NWE 42,6,7,Corey Dillon right tackle for 17 yards (tackle by Adam Archuleta),1.600,2.850
2,13:12,1,10,STL 41,6,7,Corey Dillon up the middle for no gain (tackle by Pisa Tinoisamoa),2.850,2.310
2,12:31,2,10,STL 41,6,7,Tom Brady pass incomplete intended for David Patten,2.310,1.620
2,12:26,3,10,STL 41,6,7,Tom Brady pass complete to Kevin Faulk for 12 yards (tackle by Adam Archuleta and Pisa Tinoisamoa),1.620,3.640
2,11:50,1,10,STL 29,6,7,Kevin Faulk right guard for 9 yards (tackle by Trev Faulk and Travis Fisher),3.640,4.320
2,11:07,2,1,STL 20,6,7,Corey Dillon left tackle for -1 yards (tackle by Trev Faulk),4.320,3.470
2,10:26,3,2,STL 21,6,7,Tom Brady pass complete to David Givens for 10 yards (tackle by Jerametrius Butler),3.470,4.840
2,9:43,1,10,STL 11,6,7,Corey Dillon left end for 9 yards (tackle by Anthony Hargrove),4.840,5.850
2,9:11,2,1,STL 2,12,7,"Tom Brady pass complete to Mike Vrabel for 2 yards, touchdown",5.850,7.000
2,,,,STL 2,13,7,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,NWE 30,13,7,"Adam Vinatieri kicks off 64 yards, returned by Arlen Harris for 39 yards (tackle by Dexter Reid). Penalty on DeJuan Groce: Illegal Block Above the Waist, 10 yards",0.000,-0.220
2,8:56,1,10,STL 15,13,7,Marshall Faulk up the middle for 2 yards (tackle by Vince Wilfork),-0.220,-0.440
2,8:23,2,8,STL 17,13,7,Marc Bulger left tackle for 9 yards (tackle by Mike Vrabel),-0.440,0.670
2,7:31,1,10,STL 26,13,7,Marshall Faulk right tackle for 14 yards (tackle by Eugene Wilson),0.670,1.600
2,6:56,1,10,STL 40,13,7,Steven Jackson left end for 1 yard (tackle by Keith Traylor),1.600,1.190
2,6:17,2,9,STL 41,13,7,Marc Bulger pass complete to Brandon Manumaleuna for 48 yards (tackle by Rodney Harrison),1.190,4.840
2,5:29,1,10,NWE 11,13,13,"Marc Bulger pass complete to Isaac Bruce for 11 yards, touchdown",4.840,7.000
2,,,,NWE 2,13,14,Jeff Wilkins kicks extra point good,0.000,0.000
2,,,,STL 30,13,14,"Jeff Wilkins kicks off 61 yards, returned by Patrick Pass for 18 yards (tackle by Dwight Anderson)",0.000,0.740
2,5:14,1,10,NWE 27,13,14,"Penalty on Daniel Graham: False Start, 5 yards (no play)",0.740,0.410
2,5:14,1,15,NWE 22,13,14,Tom Brady pass complete to David Givens for 50 yards (tackle by Jerametrius Butler),0.410,3.710
2,4:32,1,10,STL 28,13,14,Corey Dillon up the middle for 3 yards (tackle by Tommy Polley),3.710,3.570
2,3:56,2,7,STL 25,13,14,Corey Dillon up the middle for -2 yards (tackle by Trev Faulk and Tommy Polley),3.570,2.610
2,3:17,3,9,STL 27,13,14,Tom Brady pass incomplete intended for David Givens,2.610,1.670
2,3:08,4,9,STL 27,16,14,Adam Vinatieri 45 yard field goal good,1.670,3.000
2,,,,NWE 30,16,14,"Adam Vinatieri kicks off 59 yards, returned by Arlen Harris for 23 yards (tackle by Larry Izzo)",0.000,1.200
2,2:57,1,10,STL 34,16,14,Marc Bulger pass complete to Torry Holt for 15 yards (tackle by Dexter Reid),1.200,2.190
2,2:30,1,10,STL 49,16,14,Marc Bulger pass complete to Torry Holt for 22 yards (tackle by Eugene Wilson),2.190,3.640
2,2:00,1,10,NWE 29,16,14,Marc Bulger pass incomplete intended for Brandon Manumaleuna,3.640,3.100
2,1:56,2,10,NWE 29,16,14,"Marc Bulger pass complete to Isaac Bruce for 8 yards (tackle by Rodney Harrison). Penalty on STL: Illegal Formation, 5 yards (no play)",3.100,2.420
2,1:56,2,15,NWE 34,16,14,Marshall Faulk up the middle for 4 yards (tackle by Tully Banta-Cain),2.420,2.280
2,1:15,3,11,NWE 30,16,14,"Marc Bulger sacked by Willie McGinest for -4 yards. Marc Bulger fumbles (forced by Willie McGinest), recovered by Jarvis Green at NWE-28 (tackle by Andy McCollum)",2.280,-0.810
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
