Unnamed: 0,NWE,STL
First Downs,22,21
Rush-Yds-TDs,32-147-1,19-81-0
Cmp-Att-Yd-TD-INT,19-32-238-3-0,23-33-285-2-1
Sacked-Yards,2-9,5-26
Net Pass Yards,229,259
Total Yards,376,340
Fumbles-Lost,1-1,2-2
Turnovers,1,3
Penalties-Yards,7-48,10-80
Third Down Conv.,7-14,2-9
Fourth Down Conv.,1-1,1-2
Time of Possession,31:45,28:15
