Quarter,Time,Tm,Detail,TAM,DEN
1.0,9:58,Buccaneers,Chris Godwin 10 yard pass from Tom Brady (Ryan Succop kick),7,0
,0:15,Buccaneers,Ryan Succop 43 yard field goal,10,0
2.0,11:33,Broncos,Brandon McManus 56 yard field goal,10,3
,6:35,Buccaneers,Mike Evans 1 yard pass from Tom Brady (Ryan Succop kick),17,3
,2:19,Buccaneers,Mike Evans 1 yard pass from Tom Brady (Ryan Succop kick failed),23,3
,0:14,Broncos,Tim Patrick 7 yard pass from Jeff Driskel (Brandon McManus kick),23,10
3.0,11:44,Buccaneers,"Safety, Jeff Driskel sacked in end zone by Shaquil Barrett",25,10
,0:00,Buccaneers,Ryan Succop 35 yard field goal,28,10
