Quarter,Time,Down,ToGo,Location,TAM,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DEN 25,0,0,Melvin Gordon right tackle for 4 yards (tackle by Devin White and Vita Vea),0.610,0.600
1,14:24,2,6,DEN 29,0,0,"Jeff Driskel right end for 7 yards (tackle by Devin White). Penalty on Elijah Wilkinson: Offensive Holding, 10 yards (no play)",0.600,-0.810
1,13:57,2,16,DEN 19,0,0,Jeff Driskel pass complete short left to KJ Hamler for 9 yards (tackle by Jamel Dean),-0.810,-0.230
1,13:16,3,7,DEN 28,0,0,Jeff Driskel right end for 9 yards (tackle by Jamel Dean),-0.230,1.400
1,12:24,1,10,DEN 37,0,0,Melvin Gordon left guard for 2 yards (tackle by Ndamukong Suh),1.400,1.130
1,11:49,2,8,DEN 39,0,0,KJ Hamler right end for -2 yards (tackle by Carlton Davis),1.130,0.170
1,11:04,3,10,DEN 37,0,0,Jeff Driskel pass complete short left to Noah Fant for 6 yards (tackle by Lavonte David),0.170,-0.520
1,10:51,4,4,DEN 43,0,0,"Sam Martin punts blocked by Pat O'Connor, recovered by Pat O'Connor (tackle by Jacob Bobenmoyer). Penalty on Austin Calitro: Offensive Holding (Declined)",-0.520,-4.910
1,10:41,1,10,DEN 10,0,0,Ronald Jones right tackle for no gain (tackle by Jeremiah Attaochu),4.910,4.190
1,10:08,2,10,DEN 10,0,0,Tom Brady pass incomplete short right intended for Ronald Jones,4.190,3.130
1,10:04,3,10,DEN 10,6,0,"Tom Brady pass complete short left to Chris Godwin for 10 yards, touchdown",3.130,7.000
1,9:58,,,DEN 15,7,0,Ryan Succop kicks extra point good,0.000,0.000
1,9:58,,,TAM 35,7,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,9:58,1,10,DEN 25,7,0,Jeff Driskel pass incomplete short right,0.610,0.060
1,9:51,2,10,DEN 25,7,0,Melvin Gordon left tackle for -1 yards (tackle by Vita Vea and Jason Pierre-Paul),0.060,-0.760
1,9:13,3,11,DEN 24,7,0,Jeff Driskel pass incomplete short right intended for Jerry Jeudy (defended by Sean Murphy-Bunting),-0.760,-1.770
1,9:08,4,11,DEN 24,7,0,Sam Martin punts 48 yards downed by Andrew Beck,-1.770,-0.810
1,8:56,1,10,TAM 28,7,0,Tom Brady pass complete short right to O.J. Howard for 5 yards (tackle by Jeremiah Attaochu),0.810,0.940
1,8:14,2,5,TAM 33,7,0,Tom Brady pass complete short right to Rob Gronkowski for 9 yards (tackle by Bryce Callahan),0.940,1.730
1,7:33,1,10,TAM 42,7,0,Tom Brady pass complete short left to Rob Gronkowski for 7 yards (tackle by Josey Jewell),1.730,2.130
1,7:01,2,3,TAM 49,7,0,"Penalty on O.J. Howard: False Start, 5 yards (no play)",2.130,1.460
1,6:43,2,8,TAM 44,7,0,Ronald Jones up the middle for 4 yards (tackle by Josey Jewell and Alexander Johnson),1.460,1.290
1,6:06,3,4,TAM 48,7,0,Tom Brady pass incomplete short middle intended for LeSean McCoy (defended by DeShawn Williams),1.290,-0.190
1,6:01,4,4,TAM 48,7,0,"Bradley Pinion punts 36 yards, fair catch by Diontae Spencer at DEN-16",-0.190,0.140
1,5:54,1,10,DEN 16,7,0,Jeff Driskel pass complete short right to Melvin Gordon for 2 yards (tackle by Lavonte David and Devin White),-0.140,-0.350
1,5:15,2,8,DEN 18,7,0,Jeff Driskel pass incomplete short left intended for Melvin Gordon,-0.350,-1.070
1,5:11,3,8,DEN 18,7,0,Jeff Driskel pass incomplete deep left intended for Jerry Jeudy,-1.070,-2.240
1,5:06,4,8,DEN 18,7,0,"Sam Martin punts 41 yards, returned by Jaydon Mickens for 5 yards (tackle by LeVante Bellamy)",-2.240,-1.990
1,4:55,1,10,TAM 46,7,0,Leonard Fournette left end for -3 yards (tackle by Michael Ojemudia),1.990,1.050
1,4:21,2,13,TAM 43,7,0,Tom Brady pass complete short left to Leonard Fournette for 3 yards (tackle by Michael Ojemudia),1.050,0.760
1,3:39,3,10,TAM 46,7,0,Tom Brady pass complete short right to LeSean McCoy for 9 yards (tackle by Jeremiah Attaochu),0.760,0.270
1,2:53,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
1,2:53,4,1,DEN 45,7,0,Leonard Fournette up the middle for 2 yards (tackle by Mike Purcell and DeShawn Williams),0.270,2.720
1,2:14,1,10,DEN 43,7,0,Tom Brady pass incomplete short right,2.720,2.180
1,2:10,2,10,DEN 43,7,0,Tom Brady pass complete short right to Scott Miller for 10 yards (tackle by Bryce Callahan),2.180,3.380
1,1:44,1,10,DEN 33,7,0,"Tom Brady for -1 yards. Tom Brady fumbles, recovered by Leonard Fournette at DEN-34 (tackle by Jurrell Casey)",3.380,2.700
1,1:09,2,11,DEN 34,7,0,Tom Brady pass complete short left to Chris Godwin for 10 yards (tackle by Josey Jewell),2.700,3.340
1,0:23,,,,,,Timeout #1 by Denver Broncos,,
1,0:23,3,1,DEN 24,7,0,Tom Brady pass incomplete short left intended for LeSean McCoy (defended by Shelby Harris),3.340,2.020
1,0:19,4,1,DEN 24,10,0,Ryan Succop 43 yard field goal good,2.020,3.000
1,0:15,,,TAM 35,10,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,0:15,1,10,DEN 25,10,0,Melvin Gordon left tackle for 2 yards (tackle by Jamel Dean and Anthony Nelson),0.610,0.330
Quarter,Time,Down,ToGo,Location,TAM,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,DEN 27,10,0,Jeff Driskel pass complete short middle to Jerry Jeudy for 15 yards (tackle by Antoine Winfield),0.330,1.730
2,14:33,1,10,DEN 42,10,0,Jeff Driskel pass complete short left to Noah Fant for 18 yards (tackle by Antoine Winfield and Jordan Whitehead),1.730,2.920
2,13:46,1,10,TAM 40,10,0,Jeff Driskel right end for 3 yards (tackle by Lavonte David),2.920,2.780
2,13:06,2,7,TAM 37,10,0,Jeff Driskel sacked by Antoine Winfield for -8 yards,2.780,1.030
2,12:20,3,15,TAM 45,10,0,Jeff Driskel pass complete short middle to Noah Fant for 7 yards (tackle by Shaquil Barrett),1.030,0.720
2,11:38,4,8,TAM 38,10,3,Brandon McManus 56 yard field goal good,0.720,3.000
2,11:33,,,DEN 35,10,3,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,11:33,1,10,TAM 25,10,3,Ronald Jones right guard for 2 yards (tackle by Malik Reed and Jurrell Casey),0.610,0.330
2,10:53,2,8,TAM 27,10,3,Tom Brady pass incomplete deep middle intended for O.J. Howard (defended by Anthony Chickillo),0.330,-0.360
2,10:47,3,8,TAM 27,10,3,Tom Brady pass complete deep right to Scott Miller for 47 yards (tackle by Justin Simmons),-0.360,3.840
2,10:07,1,10,DEN 26,10,3,Ronald Jones up the middle for 5 yards (tackle by Shelby Harris),3.840,3.970
2,9:32,2,5,DEN 21,10,3,Tom Brady pass incomplete deep right intended for Rob Gronkowski,3.970,3.270
2,9:26,3,5,DEN 21,10,3,Tom Brady pass complete short middle to Chris Godwin for 6 yards (tackle by Justin Simmons),3.270,4.580
2,8:41,1,10,DEN 15,10,3,Tom Brady pass incomplete,4.580,3.950
2,8:37,2,10,DEN 15,10,3,Leonard Fournette up the middle for 6 yards (tackle by Anthony Chickillo),3.950,4.220
2,8:01,3,4,DEN 9,10,3,Tom Brady pass complete short middle to Rob Gronkowski for 6 yards (tackle by Kareem Jackson),4.220,6.510
2,7:20,1,3,DEN 3,10,3,Tom Brady pass incomplete short middle intended for Chris Godwin,6.510,5.530
2,7:15,2,3,DEN 3,10,3,Leonard Fournette left guard for 2 yards (tackle by Shelby Harris and Kareem Jackson),5.530,5.170
2,6:37,3,1,DEN 1,16,3,"Tom Brady pass complete short left to Mike Evans for 1 yard, touchdown",5.170,7.000
2,6:35,,,DEN 15,17,3,Ryan Succop kicks extra point good,0.000,0.000
2,6:35,,,TAM 35,17,3,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,6:35,1,10,DEN 25,17,3,Melvin Gordon right end for 9 yards (tackle by Rakeem Nunez-Roches and Antoine Winfield),0.610,1.280
2,6:12,2,1,DEN 34,17,3,Jeff Driskel sacked by Shaquil Barrett for -12 yards,1.280,-1.020
2,5:30,3,13,DEN 22,17,3,Jeff Driskel pass complete short right to Melvin Gordon for -2 yards (tackle by Shaquil Barrett). Penalty on Graham Glasgow: Illegal Block Above the Waist (Declined),-1.020,-2.030
2,5:07,4,15,DEN 20,17,3,"Sam Martin punts 49 yards, returned by Jaydon Mickens for 13 yards (tackle by Josey Jewell)",-2.030,-1.860
