Unnamed: 0,TAM,DEN
First Downs,17,13
Rush-Yds-TDs,25-68-0,14-42-0
Cmp-Att-Yd-TD-INT,25-38-297-3-0,25-39-229-1-2
Sacked-Yards,2-12,6-45
Net Pass Yards,285,184
Total Yards,353,226
Fumbles-Lost,1-0,1-0
Turnovers,0,2
Penalties-Yards,9-71,4-30
Third Down Conv.,8-16,5-14
Fourth Down Conv.,1-1,0-1
Time of Possession,33:02,26:58
