Unnamed: 0,NOR,LAR
First Downs,14,24
Rush-Yds-TDs,17-123-1,25-88-0
Cmp-Att-Yd-TD-INT,22-32-246-1-0,28-44-354-2-1
Sacked-Yards,3-23,4-27
Net Pass Yards,223,327
Total Yards,346,415
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,7-112,9-90
Third Down Conv.,3-13,3-14
Fourth Down Conv.,1-1,0-0
Time of Possession,24:34,35:26
