Quarter,Time,Down,ToGo,Location,NOR,LAR,Detail,EPB,EPA
1,5:31,3,1,NOR 34,0,7,Todd Gurley right tackle for no gain (tackle by A.J. Klein and Vonn Bell),2.680,0.000
1,4:43,,,,,,Timeout #1 by Los Angeles Rams,0.000,-1.100
1,4:43,4,1,NOR 34,0,7,"Jared Goff pass incomplete deep left intended for Josh Reynolds (defended by Kenny Vaccaro). Penalty on Kenny Vaccaro: Defensive Holding, 5 yards (no play)",1.100,3.640
1,4:36,1,10,NOR 29,0,7,Jared Goff sacked by Craig Robertson for -7 yards,3.640,2.160
1,3:53,2,17,NOR 36,0,7,Jared Goff pass incomplete deep right intended for Cooper Kupp,2.160,1.490
1,3:47,3,17,NOR 36,0,7,Jared Goff pass complete short left to Todd Gurley for 4 yards (tackle by P.J. Williams),1.490,1.240
1,3:08,4,13,NOR 32,0,10,Greg Zuerlein 50 yard field goal good,1.240,3.000
1,3:02,,,LAR 35,0,10,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
1,3:02,1,10,NOR 25,0,10,Mark Ingram left tackle for 1 yard (tackle by Aaron Donald and Ethan Westbrooks),0.610,0.200
1,2:28,2,9,NOR 26,6,10,"Alvin Kamara right guard for 74 yards, touchdown",0.200,7.000
1,2:14,,,LAR 15,7,10,Wil Lutz kicks extra point good,0.000,0.000
1,2:14,,,NOR 35,7,10,"Wil Lutz kicks off 62 yards, returned by Pharoh Cooper for 28 yards (tackle by Vonn Bell)",0.000,-1.000
1,2:08,1,10,LAR 31,7,10,Tavon Austin for 1 yard (tackle by Vonn Bell),1.000,0.600
1,1:31,2,9,LAR 32,7,10,Tavon Austin right end for 1 yard (tackle by Vonn Bell),0.600,0.040
1,0:52,3,8,LAR 33,7,10,Jared Goff pass incomplete short left intended for Sammy Watkins,0.040,-1.180
1,0:48,4,8,LAR 33,7,10,"Johnny Hekker punts 48 yards, out of bounds",-1.180,-0.150
1,0:39,1,10,NOR 19,7,10,Alvin Kamara middle for 6 yards (tackle by Mark Barron),0.150,0.480
1,0:04,2,4,NOR 25,7,10,Mark Ingram left end for 1 yard (tackle by Robert Quinn),0.480,-0.160
Quarter,Time,Down,ToGo,Location,NOR,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,NOR 26,7,10,Drew Brees pass complete short left to Ted Ginn for 2 yards (tackle by Robert Quinn and Michael Brockers),-0.160,-1.500
2,14:22,4,1,NOR 28,7,10,"Thomas Morstead punts 60 yards, out of bounds",-1.500,0.350
2,14:13,1,10,LAR 12,7,10,"Jared Goff pass incomplete. Penalty on Jared Goff: Intentional Grounding, 8 yards",-0.350,-1.360
2,14:08,2,18,LAR 4,7,10,Jared Goff pass complete short middle to Todd Gurley for 31 yards (tackle by Vonn Bell),-1.360,1.270
2,13:31,1,10,LAR 35,7,10,Tavon Austin middle for 4 yards (tackle by Craig Robertson),1.270,1.260
2,12:51,2,6,LAR 39,7,10,Jared Goff pass incomplete short left intended for Cooper Kupp (defended by P.J. Williams),1.260,0.560
2,12:44,3,6,LAR 39,7,10,Jared Goff sacked by Vonn Bell for 0 yards,0.560,-0.780
2,12:14,4,6,LAR 39,7,10,"Johnny Hekker punts 50 yards, fair catch by Tommylee Lewis",-0.780,0.370
2,12:04,1,10,NOR 11,7,10,Mark Ingram right tackle for 6 yards (tackle by Robert Quinn),-0.370,-0.160
2,11:24,2,4,NOR 17,7,10,Drew Brees pass complete short right to Alvin Kamara for 6 yards (tackle by Tyrunn Walker),-0.160,0.480
2,10:47,1,10,NOR 23,7,10,Drew Brees pass complete short left to Ted Ginn for 7 yards (tackle by Kayvon Webster),0.480,0.880
2,10:09,2,3,NOR 30,7,10,Mark Ingram right guard for 1 yard (tackle by Alec Ogletree),0.880,0.300
2,9:28,3,2,NOR 31,7,10,Drew Brees pass complete short right to Mark Ingram for no gain,0.300,-1.310
2,8:54,4,2,NOR 31,7,10,"Thomas Morstead punts 51 yards, returned by Pharoh Cooper for 6 yards (tackle by Chris Banjo). Penalty on Troy Hill: Illegal Block Above the Waist, 10 yards",-1.310,0.280
2,8:40,1,10,LAR 14,7,10,Jared Goff pass complete short right to Pharoh Cooper for 9 yards (tackle by Vonn Bell),-0.280,0.550
2,7:53,2,1,LAR 23,7,10,Todd Gurley right end for 6 yards (tackle by David Onyemata and Vonn Bell),0.550,0.870
2,7:16,1,10,LAR 29,7,10,Jared Goff pass complete short left to Cooper Kupp for -6 yards (tackle by A.J. Klein),0.870,0.870
2,6:48,2,6,LAR 33,7,10,Jared Goff pass complete short right to Todd Gurley for 8 yards (tackle by Craig Robertson),0.870,1.660
2,5:59,1,10,LAR 41,7,10,Jared Goff pass complete short left to Tavon Austin for -1 yards (tackle by A.J. Klein),1.660,0.990
2,5:16,2,11,LAR 40,7,10,Jared Goff pass complete deep left to Cooper Kupp for 53 yards (tackle by Marcus Williams),0.990,5.600
2,4:37,1,7,NOR 7,7,10,Jared Goff pass incomplete short right intended for Cooper Kupp,5.600,4.760
2,4:29,2,7,NOR 7,7,16,"Jared Goff pass complete short middle to Josh Reynolds for 7 yards, touchdown",4.760,7.000
2,4:22,,,NOR 15,7,17,Greg Zuerlein kicks extra point good,0.000,0.000
2,4:22,,,LAR 35,7,17,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
2,4:19,1,10,NOR 25,7,17,Mark Ingram middle for 3 yards (tackle by John Johnson),0.610,0.470
2,3:44,2,7,NOR 28,7,17,Drew Brees right end for 5 yards (tackle by Aaron Donald),0.470,0.000
2,2:58,,,,,,Timeout #2 by Los Angeles Rams,0.000,-0.430
2,2:58,3,2,NOR 33,7,17,Drew Brees pass complete short middle to Michael Thomas for 13 yards (tackle by Trumaine Johnson),0.430,1.990
2,2:20,1,10,NOR 46,7,17,Drew Brees pass complete short right to Alvin Kamara for 21 yards (tackle by Robert Quinn and Mark Barron),1.990,3.380
2,2:00,1,10,LAR 33,7,17,Drew Brees pass incomplete deep left intended for Michael Thomas,3.380,2.840
2,1:53,2,10,LAR 33,7,17,Alvin Kamara left tackle for 2 yards (tackle by Alec Ogletree),2.840,2.410
2,1:09,3,8,LAR 31,7,17,Drew Brees pass incomplete short left intended for Tommylee Lewis (defended by Kayvon Webster),2.410,1.320
2,1:03,4,8,LAR 31,10,17,Wil Lutz 50 yard field goal good,1.320,3.000
2,0:58,,,NOR 35,10,17,"Wil Lutz kicks off 68 yards, returned by Pharoh Cooper for 21 yards (tackle by Justin Hardee)",0.000,-0.040
2,0:54,1,10,LAR 18,10,17,Jared Goff pass complete short right to Tyler Higbee for 6 yards (tackle by Vonn Bell),0.040,0.410
2,0:50,2,4,LAR 24,10,17,Jared Goff pass incomplete deep right intended for Josh Reynolds,0.410,-0.400
2,0:45,3,4,LAR 24,10,17,Jared Goff pass complete deep right to Sammy Watkins for 31 yards (tackle by Marcus Williams),-0.400,2.590
2,0:38,1,10,NOR 45,10,17,Jared Goff pass incomplete short right intended for Todd Gurley,2.590,2.040
2,0:32,2,10,NOR 45,10,17,Jared Goff sacked by Cameron Jordan for -10 yards,2.040,0.000
