Unnamed: 0,SDG,CLE
First Downs,16,11
Rush-Yds-TDs,50-174-2,29-126-0
Cmp-Att-Yd-TD-INT,4-6-85-1-0,11-28-108-0-1
Sacked-Yards,1-2,1-3
Net Pass Yards,83,105
Total Yards,257,231
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,1-8,7-55
Third Down Conv.,5-13,2-14
Fourth Down Conv.,0-1,2-5
Time of Possession,33:51,26:09
