Quarter,Time,Tm,Detail,SDG,CLE
1,2:09,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),7,0
2,2:11,Chargers,Antonio Gates 72 yard pass from Drew Brees (Nate Kaeding kick),14,0
3,8:32,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),21,0
