Quarter,Time,Down,ToGo,Location,SDG,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,SDG 30,0,0,"Nate Kaeding kicks off 61 yards, returned by Richard Alston for 21 yards (tackle by Clinton Hart)",0.000,0.940
1,14:54,1,10,CLE 30,0,0,William Green left guard for 2 yards (tackle by Randall Godfrey and Jacques Cesaire),0.940,0.660
1,14:22,2,8,CLE 32,0,0,William Green right guard for 13 yards (tackle by Quentin Jammer),0.660,1.930
1,13:49,1,10,CLE 45,0,0,William Green right guard for no gain (tackle by Jamal Williams),1.930,1.380
1,13:12,2,10,CLE 45,0,0,Luke McCown pass complete to Antonio Bryant for 4 yards (tackle by Jerry Wilson),1.380,1.220
1,12:29,3,6,CLE 49,0,0,Luke McCown pass complete to Dennis Northcutt for 5 yards (tackle by Terrence Kiel),1.220,0.200
1,12:08,,,,0,0,Timeout #1 by San Diego Chargers,0.000,0.200
1,12:08,4,1,SDG 46,0,0,Dennis Northcutt right end for 1 yard (tackle by Donnie Edwards),0.200,2.590
1,11:23,1,10,SDG 45,0,0,Luke McCown pass incomplete intended for Antonio Bryant,2.590,2.040
1,11:17,2,10,SDG 45,0,0,Luke McCown pass complete to Frisman Jackson for 6 yards (tackle by Drayton Florence),2.040,2.150
1,10:35,3,4,SDG 39,0,0,Dennis Northcutt left end for -1 yards (tackle by Drayton Florence),2.150,0.590
1,10:02,4,5,SDG 40,0,0,"Derrick Frost punts 34 yards, muffed catch by Drayton Florence, recovered by Dyshod Carter and returned for no gain",0.590,6.060
1,9:51,1,5,SDG 5,0,0,Luke McCown pass incomplete intended for Terrelle Smith is intercepted by Donnie Edwards at SDG-0,6.060,-0.280
1,9:42,1,10,SDG 20,0,0,Drew Brees pass complete to Eric Parker for 9 yards (tackle by Anthony Henry),0.280,0.950
1,9:01,2,1,SDG 29,0,0,Lorenzo Neal right guard for 5 yards (tackle by Michael Myers and Alvin McKinley),0.950,1.200
1,8:24,1,10,SDG 34,0,0,Drew Brees pass incomplete intended for Malcom Floyd,1.200,0.660
1,8:18,2,10,SDG 34,0,0,LaDainian Tomlinson left guard for 1 yard (tackle by Chaun Thompson),0.660,0.100
1,7:39,3,9,SDG 35,0,0,Drew Brees sacked by Ebenezer Ekuban for -2 yards,0.100,-1.180
1,7:16,4,11,SDG 33,0,0,"Mike Scifres punts 40 yards, returned by Dennis Northcutt for 5 yards (tackle by Robb Butler). Penalty on Sherrod Coates: Roughing the Kicker, 15 yards (no play)",-1.180,2.130
1,7:06,1,10,SDG 48,0,0,LaDainian Tomlinson right guard for 1 yard (tackle by Warrick Holdman),2.130,1.720
1,6:22,2,9,SDG 49,0,0,LaDainian Tomlinson right guard for 11 yards (tackle by Kevin Bentley),1.720,2.920
1,5:41,1,10,CLE 40,0,0,LaDainian Tomlinson left guard for 20 yards (tackle by Lewis Sanders),2.920,4.240
1,5:03,1,10,CLE 20,0,0,LaDainian Tomlinson right guard for 2 yards (tackle by Alvin McKinley),4.240,3.960
1,4:21,2,8,CLE 18,0,0,LaDainian Tomlinson right tackle for 1 yard (tackle by Barry Gardner and Lewis Sanders),3.960,3.360
1,3:33,,,,0,0,Timeout #2 by San Diego Chargers,0.000,3.360
1,3:33,3,7,CLE 17,0,0,Drew Brees pass complete to Eric Parker for 9 yards (tackle by Anthony Henry). Penalty on Anthony Henry: Illegal Contact (Declined),3.360,5.370
1,3:03,1,8,CLE 8,0,0,"LaDainian Tomlinson left tackle for 4 yards (tackle by Anthony Henry). Penalty on Alvin McKinley: Defensive Holding, 2 yards",5.370,6.740
1,2:52,1,2,CLE 2,0,0,LaDainian Tomlinson right guard for 1 yard (tackle by Kenard Lang),6.740,5.910
1,2:13,2,1,CLE 1,6,0,"LaDainian Tomlinson left guard for 1 yard, touchdown",5.910,7.000
1,,,,CLE 2,7,0,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,7,0,"Nate Kaeding kicks off 59 yards, returned by Richard Alston for 8 yards (tackle by Clinton Hart). Penalty on Warrick Holdman: Illegal Block Above the Waist, 9 yards",0.000,-0.380
1,2:01,1,10,CLE 10,7,0,Lee Suggs left guard for -2 yards (tackle by Randall Godfrey),-0.380,-0.930
1,1:24,2,12,CLE 8,7,0,Lee Suggs left tackle for 26 yards (tackle by Quentin Jammer),-0.930,1.200
1,0:45,1,10,CLE 34,7,0,Lee Suggs right tackle for 6 yards (tackle by Randall Godfrey and Jerry Wilson),1.200,1.470
Quarter,Time,Down,ToGo,Location,SDG,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,CLE 40,7,0,Lee Suggs left tackle for no gain (tackle by Jacques Cesaire and Randall Godfrey),1.470,0.760
2,14:21,3,4,CLE 40,7,0,Lee Suggs left guard for 6 yards (tackle by Randall Godfrey),0.760,1.990
2,13:42,1,10,CLE 46,7,0,Luke McCown pass incomplete intended for Antonio Bryant (defended by Jacques Cesaire),1.990,1.450
2,13:38,2,10,CLE 46,7,0,Lee Suggs right guard for 1 yard (tackle by Randall Godfrey),1.450,0.890
2,13:01,3,9,CLE 47,7,0,Luke McCown pass complete to Aaron Shea for 8 yards (tackle by Steve Foley),0.890,0.270
2,12:36,4,1,SDG 45,7,0,Lee Suggs left guard for 2 yards (tackle by Donnie Edwards),0.270,2.720
2,12:00,1,10,SDG 43,7,0,Lee Suggs right guard for 1 yard (tackle by Donnie Edwards and Terrence Kiel),2.720,2.310
2,11:23,2,9,SDG 42,7,0,Luke McCown pass complete to Steve Heiden for 5 yards (tackle by Steve Foley),2.310,2.280
2,10:40,3,4,SDG 37,7,0,Lee Suggs right guard for 9 yards (tackle by Donnie Edwards and Robb Butler),2.280,3.710
2,10:01,1,10,SDG 28,7,0,Lee Suggs right guard for 6 yards (tackle by Randall Godfrey and Jamal Williams),3.710,3.980
2,9:20,2,4,SDG 22,7,0,William Green left guard for 1 yard (tackle by Jacques Cesaire),3.980,3.400
2,8:36,3,3,SDG 21,7,0,Luke McCown pass incomplete intended for Dennis Northcutt,3.400,2.160
2,8:32,4,3,SDG 21,7,0,Phil Dawson 39 yard field goal no good,2.160,-0.870
2,8:28,1,10,SDG 29,7,0,LaDainian Tomlinson right guard for 9 yards (tackle by Alvin McKinley and Earl Little),0.870,1.540
2,7:52,2,1,SDG 38,7,0,Lorenzo Neal right guard for 5 yards (tackle by Warrick Holdman),1.540,1.800
2,7:17,1,10,SDG 43,7,0,LaDainian Tomlinson left guard for 8 yards (tackle by Earl Little),1.800,2.330
2,6:44,2,2,CLE 49,7,0,Lorenzo Neal right guard for 2 yards (tackle by Gerard Warren and Kenard Lang),2.330,2.460
2,5:55,1,10,CLE 47,7,0,Drew Brees for -3 yards (tackle by Michael Myers),2.460,1.510
2,5:24,2,13,CLE 50,7,0,LaDainian Tomlinson right tackle for 6 yards (tackle by Warrick Holdman and Lewis Sanders),1.510,1.620
2,4:41,3,7,CLE 44,7,0,Drew Brees pass complete to LaDainian Tomlinson for -5 yards (tackle by Anthony Henry),1.620,0.000
2,3:54,4,12,CLE 49,7,0,"Mike Scifres punts 49 yards, touchback",0.000,-0.280
2,3:44,1,10,CLE 20,7,0,William Green right guard for 1 yard (tackle by Donnie Edwards and Jason Fisk),0.280,-0.130
2,3:11,2,9,CLE 21,7,0,Luke McCown pass incomplete intended for Dennis Northcutt,-0.130,-0.820
2,3:03,3,9,CLE 21,7,0,Luke McCown for 4 yards,-0.820,-1.700
2,2:34,4,5,CLE 25,7,0,"Derrick Frost punts 47 yards, fair catch by Eric Parker",-1.700,-0.810
2,2:24,1,10,SDG 28,13,0,"Drew Brees pass complete to Antonio Gates for 72 yards, touchdown",0.810,7.000
2,,,,CLE 2,14,0,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,14,0,"Nate Kaeding kicks off 57 yards, returned by Richard Alston for 13 yards (tackle by Shaun Phillips)",0.000,0.670
2,2:07,1,10,CLE 26,14,0,Luke McCown pass complete to Antonio Bryant for 19 yards (tackle by Jerry Wilson),0.670,1.930
2,1:58,1,10,CLE 45,14,0,Lee Suggs right guard for 3 yards (tackle by Steve Foley),1.930,1.790
2,1:41,,,,14,0,Timeout #1 by Cleveland Browns,0.000,1.790
2,1:41,2,7,CLE 48,14,0,Luke McCown pass incomplete intended for Frisman Jackson (defended by Quentin Jammer),1.790,1.090
2,1:37,3,7,CLE 48,14,0,Luke McCown pass incomplete. Penalty on Damion Cook: Ineligible Downfield Pass (Declined),1.090,-0.190
2,1:31,4,7,CLE 48,14,0,Derrick Frost punts 37 yards,-0.190,0.220
2,1:20,1,10,SDG 15,14,0,LaDainian Tomlinson left guard for -2 yards (tackle by Kenard Lang),-0.220,-0.920
2,0:37,2,12,SDG 13,14,0,LaDainian Tomlinson left guard for 1 yard (tackle by Chaun Thompson),-0.920,-1.510
2,0:33,,,,14,0,Timeout #2 by Cleveland Browns,0.000,-1.510
2,0:33,3,11,SDG 14,14,0,LaDainian Tomlinson right guard for 7 yards (tackle by Robert Griffith),-1.510,-1.960
2,0:26,,,,14,0,Timeout #3 by Cleveland Browns,0.000,-1.960
2,0:26,4,4,SDG 21,14,0,Mike Scifres punts 50 yards (tackle by Justin Peelle),-1.960,-1.330
2,0:14,1,10,CLE 36,14,0,"Luke McCown pass complete to Dennis Northcutt for 9 yards (tackle by Terrence Kiel). Penalty on CLE: Offensive 12 On-field, 5 yards (no play)",1.330,1.000
2,0:10,1,15,CLE 31,14,0,Luke McCown sacked by Shaun Phillips for -3 yards,1.000,-0.290
Quarter,Time,Down,ToGo,Location,SDG,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,14,0,"Phil Dawson kicks onside 12 yards, recovered by Drayton Florence",0.000,2.790
3,14:58,1,10,CLE 42,14,0,LaDainian Tomlinson left tackle for 5 yards (tackle by Michael Myers),2.790,2.920
3,14:25,2,5,CLE 37,14,0,LaDainian Tomlinson right guard for 3 yards (tackle by Barry Gardner),2.920,2.610
3,13:46,3,2,CLE 34,14,0,Lorenzo Neal right guard for 4 yards (tackle by Michael Myers),2.610,3.580
3,13:01,1,10,CLE 30,14,0,LaDainian Tomlinson right guard for 7 yards (tackle by Earl Little and Michael Myers),3.580,3.980
3,12:27,2,3,CLE 23,14,0,LaDainian Tomlinson left tackle for 3 yards (tackle by Alvin McKinley),3.980,4.240
3,11:44,1,10,CLE 20,14,0,Jesse Chatman left tackle for 2 yards (tackle by Anthony Henry),4.240,3.960
3,11:07,2,8,CLE 18,14,0,Jesse Chatman right guard for 7 yards (tackle by Robert Griffith),3.960,4.590
3,10:25,3,1,CLE 11,14,0,Drew Brees left guard for 3 yards (tackle by Earl Little),4.590,5.370
3,9:49,1,8,CLE 8,14,0,LaDainian Tomlinson right guard for 2 yards (tackle by Robert Griffith),5.370,4.950
3,9:08,2,6,CLE 6,14,0,LaDainian Tomlinson right guard for 5 yards (tackle by Barry Gardner and Earl Little),4.950,5.170
3,8:36,3,1,CLE 1,20,0,"LaDainian Tomlinson left guard for 1 yard, touchdown",5.170,7.000
3,,,,CLE 2,21,0,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,21,0,"Nate Kaeding kicks off 47 yards, returned by Frisman Jackson for 14 yards (tackle by Michael Turner)",0.000,1.400
3,8:25,1,10,CLE 37,21,0,Luke McCown pass complete to Dennis Northcutt for 39 yards (tackle by Quentin Jammer). Penalty on Quentin Jammer: Defensive Pass Interference (Declined),1.400,3.970
3,8:08,1,10,SDG 24,21,0,Luke McCown pass incomplete intended for Aaron Shea,3.970,3.430
3,8:02,2,10,SDG 24,21,0,Lee Suggs right tackle for 7 yards (tackle by Terrence Kiel and Donnie Edwards),3.430,3.750
3,7:21,3,3,SDG 17,21,0,"Lee Suggs right tackle for 1 yard (tackle by Randall Godfrey and Stephen Cooper). Penalty on Terrence Kiel: Personal Foul, 8 yards",3.750,5.370
3,6:55,1,8,SDG 8,21,0,Lee Suggs right tackle for -4 yards (tackle by Steve Foley),5.370,3.860
3,6:14,2,12,SDG 12,21,0,Luke McCown pass incomplete intended for Aaron Shea,3.860,3.100
,,,,,,,"CLE challenged the ruling, and the play was upheld.",,
3,6:09,3,12,SDG 12,21,0,Luke McCown pass complete to Antonio Bryant for 7 yards (tackle by Shaun Phillips),3.100,3.010
3,5:27,4,5,SDG 5,21,0,Luke McCown pass incomplete intended for Antonio Bryant,3.010,0.380
3,5:23,1,10,SDG 5,21,0,Jesse Chatman right guard for 2 yards (tackle by Tyrone Rogers and Alvin McKinley),-0.380,-0.630
3,4:46,2,8,SDG 7,21,0,Jesse Chatman left tackle for 5 yards (tackle by Tyrone Rogers and Amon Gordon),-0.630,-0.600
3,4:04,3,3,SDG 12,21,0,Jesse Chatman left guard for 8 yards (tackle by Amon Gordon and Earl Little),-0.600,0.280
3,3:25,1,10,SDG 20,21,0,Jesse Chatman right guard for 1 yard (tackle by Kevin Bentley),0.280,-0.130
3,2:49,2,9,SDG 21,21,0,Jesse Chatman right guard for 4 yards (tackle by Amon Gordon and Alvin McKinley),-0.130,-0.300
3,2:02,,,,21,0,Timeout #2 by Cleveland Browns,0.000,-0.300
3,1:57,3,5,SDG 25,21,0,Drew Brees pass incomplete intended for Antonio Gates. Penalty on Antonio Gates: Offensive Pass Interference (Declined),-0.300,-1.700
3,1:56,4,5,SDG 25,21,0,Mike Scifres punts 34 yards,-1.700,-1.660
3,1:46,1,10,CLE 41,21,0,Luke McCown pass complete to Dennis Northcutt for 8 yards (tackle by Terrence Kiel),1.660,2.200
3,1:10,2,2,CLE 49,21,0,Lee Suggs right tackle for 3 yards (tackle by Jamal Williams and Igor Olshansky),2.200,2.390
3,0:29,1,10,SDG 48,21,0,Lee Suggs right guard for no gain (tackle by Donnie Edwards and Igor Olshansky),2.390,1.850
Quarter,Time,Down,ToGo,Location,SDG,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,SDG 48,21,0,Luke McCown pass incomplete intended for Dennis Northcutt,1.850,1.160
4,14:55,3,10,SDG 48,21,0,Luke McCown pass incomplete intended for Antonio Bryant,1.160,0.070
4,14:50,4,10,SDG 48,21,0,Derrick Frost punts 27 yards,0.070,-0.340
4,14:41,1,10,SDG 21,21,0,LaDainian Tomlinson right guard for 3 yards (tackle by Robert Griffith),0.340,0.210
4,14:02,2,7,SDG 24,21,0,LaDainian Tomlinson right tackle for 9 yards (tackle by Warrick Holdman),0.210,1.140
4,13:19,1,10,SDG 33,21,0,LaDainian Tomlinson right guard for -3 yards (tackle by Michael Myers),1.140,0.190
4,12:37,2,13,SDG 30,21,0,LaDainian Tomlinson left tackle for 5 yards (tackle by Nick Eason and Warrick Holdman),0.190,0.170
4,11:51,3,8,SDG 35,21,0,Jesse Chatman right guard for 4 yards (tackle by Warrick Holdman and Barry Gardner),0.170,-0.780
4,11:18,4,4,SDG 39,21,0,"Mike Scifres punts 29 yards, returned by Dennis Northcutt for 38 yards (tackle by Jerrell Pippens)",-0.780,-3.580
4,11:03,1,10,SDG 30,21,0,Adimchinobe Echemandu pass incomplete intended for Dennis Northcutt,3.580,3.030
4,10:54,2,10,SDG 30,21,0,Lee Suggs left guard for 7 yards (tackle by Terrence Kiel),3.030,3.270
4,10:20,3,3,SDG 23,21,0,Lee Suggs right tackle for -2 yards (tackle by Adrian Dingle),3.270,1.850
4,9:42,4,5,SDG 25,21,0,Luke McCown pass incomplete intended for Antonio Bryant (defended by Steve Foley),1.850,-0.610
4,9:35,1,10,SDG 25,21,0,Jesse Chatman left tackle for 5 yards (tackle by Alvin McKinley and Ebenezer Ekuban),0.610,0.740
4,8:50,2,5,SDG 30,21,0,Jesse Chatman right tackle for no gain (tackle by Lewis Sanders and Chaun Thompson),0.740,0.040
4,8:05,3,5,SDG 30,21,0,Jesse Chatman left tackle for 2 yards (tackle by Barry Gardner and Alvin McKinley),0.040,-1.240
4,7:28,4,3,SDG 32,21,0,Mike Scifres punts 38 yards,-1.240,-0.940
4,7:15,1,10,CLE 30,21,0,Luke McCown pass incomplete intended for Antonio Bryant (defended by Drayton Florence),0.940,0.390
4,7:06,2,10,CLE 30,21,0,Luke McCown pass incomplete intended for Aaron Shea,0.390,-0.300
4,7:06,3,10,CLE 30,21,0,"Penalty on CLE: Illegal Substitution, 5 yards (no play)",-0.300,-0.960
4,7:04,3,15,CLE 25,21,0,Luke McCown pass complete to Dennis Northcutt for 9 yards (tackle by Robb Butler),-0.960,-1.110
4,6:28,4,6,CLE 34,21,0,Derrick Frost punts 31 yards,-1.110,-1.270
4,6:21,1,10,SDG 35,21,0,Jesse Chatman right tackle for 1 yard (tackle by Chaun Thompson and Michael Myers),1.270,0.860
4,5:37,2,9,SDG 36,21,0,Jesse Chatman right guard for 5 yards (tackle by Barry Gardner and Nick Eason),0.860,0.830
4,4:52,3,4,SDG 41,21,0,Jesse Chatman right guard for 2 yards (tackle by Alvin McKinley and Barry Gardner),0.830,-0.520
4,4:06,4,2,SDG 43,21,0,Mike Scifres punts 33 yards,-0.520,-0.540
4,3:55,1,10,CLE 24,21,0,Lee Suggs left guard for 4 yards (tackle by Jason Fisk),0.540,0.540
4,3:20,2,6,CLE 28,21,0,"Luke McCown pass complete to Lee Suggs for -2 yards (tackle by DeQuincy Scott). Penalty on Aaron Shea: Personal Foul, 13 yards, Penalty on Aaron Shea: Personal Foul, 6 yards",0.540,-3.410
4,3:20,3,27,CLE 7,21,0,Lee Suggs right guard for 14 yards (tackle by Quentin Jammer),-3.410,-1.960
4,2:23,,,,21,0,Timeout #3 by Cleveland Browns,0.000,-1.960
4,2:23,4,13,CLE 21,21,0,Luke McCown pass incomplete intended for Antonio Bryant,-1.960,-4.240
4,2:16,1,10,CLE 20,21,0,Drew Brees kneels for -1 yards,4.240,3.560
4,2:00,2,11,CLE 21,21,0,Drew Brees kneels for no gain,3.560,2.870
4,1:17,3,11,CLE 21,21,0,Drew Brees kneels for no gain,2.870,2.060
4,0:34,4,11,CLE 21,21,0,Drew Brees kneels for no gain,2.060,-0.340
4,0:30,1,10,CLE 21,21,0,Lee Suggs right guard for 17 yards (tackle by Steve Foley and Terrence Kiel),0.340,1.470
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
