Quarter,Time,Down,ToGo,Location,DAL,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DAL 25,0,0,Dak Prescott pass complete short right to CeeDee Lamb for 9 yards (tackle by Brandon Jones),0.610,1.280
1,14:29,2,1,DAL 34,0,0,Tony Pollard left tackle for 6 yards (tackle by Duke Riley and Andrew Van Ginkel),1.280,1.600
1,13:57,1,10,DAL 40,0,0,Dak Prescott pass incomplete short right intended for CeeDee Lamb,1.600,1.050
1,13:52,2,10,DAL 40,0,0,CeeDee Lamb left guard for 9 yards (tackle by Bradley Chubb and Christian Wilkins),1.050,1.550
1,13:19,3,1,DAL 49,0,0,Hunter Luepke up the middle for 1 yard (tackle by Christian Wilkins),1.550,2.260
1,12:47,1,10,MIA 50,0,0,"Penalty on Peyton Hendershot: False Start, 5 yards (accepted) (no play)",2.260,1.930
1,12:35,1,15,DAL 45,0,0,Dak Prescott pass complete short middle to CeeDee Lamb for 13 yards (tackle by Duke Riley and Xavien Howard),1.930,2.790
1,12:03,2,2,MIA 42,0,0,Tony Pollard right tackle for 1 yard (tackle by Andrew Van Ginkel and Zach Sieler),2.790,2.210
1,11:24,3,1,MIA 41,0,0,Hunter Luepke right guard for 2 yards (tackle by Andrew Van Ginkel),2.210,2.980
1,10:55,1,10,MIA 39,0,0,Dak Prescott pass incomplete short left intended for Rico Dowdle,2.980,2.440
1,10:44,2,10,MIA 39,0,0,Dak Prescott pass complete short right to Hunter Luepke for 8 yards (tackle by Brandon Jones),2.440,2.810
1,10:10,3,2,MIA 31,0,0,Dak Prescott sacked by Bradley Chubb for no gain,2.810,1.400
1,9:22,,,,,,Timeout #1 by Dallas Cowboys,,
1,9:22,4,2,MIA 31,0,0,Dak Prescott pass complete short right to Jake Ferguson for 20 yards (tackle by Brandon Jones),1.400,4.840
1,8:44,1,10,MIA 11,0,0,Brandin Cooks left end for 9 yards (tackle by Jalen Ramsey),4.840,5.850
1,8:06,2,1,MIA 2,0,0,Tony Pollard left end for 1 yard (tackle by DeShon Elliott),5.850,6.970
1,7:21,1,1,MIA 1,0,0,"Dak Prescott aborted snap, recovered by Brandon Jones at MIA-2",6.970,0.380
1,7:17,1,10,MIA 2,0,0,Raheem Mostert up the middle for 6 yards (tackle by Mazi Smith),-0.380,-0.340
1,6:38,2,4,MIA 8,0,0,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill,-0.340,-0.720
1,6:32,3,4,MIA 8,0,0,"Penalty on MIA: Delay of Game, 5 yards (accepted) (no play)",-0.720,-1.300
1,6:32,3,9,MIA 3,0,0,Tua Tagovailoa pass complete deep right to Jaylen Waddle for 50 yards,-1.300,2.460
1,5:47,1,10,DAL 47,0,0,Raheem Mostert left end for 2 yards (tackle by Micah Parsons and Damone Clark),2.460,2.180
1,5:07,2,8,DAL 45,0,0,Raheem Mostert left end for 5 yards (tackle by Donovan Wilson and Malik Hooker),2.180,2.150
1,4:24,3,3,DAL 40,0,0,Tua Tagovailoa pass complete short left to Jeff Wilson for 4 yards (tackle by Markquese Bell),2.150,3.180
1,3:46,1,10,DAL 36,0,0,Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle,3.180,2.640
1,3:42,2,10,DAL 36,0,0,Raheem Mostert right end for -3 yards (tackle by Jourdan Lewis),2.640,1.550
1,3:01,3,13,DAL 39,0,0,Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle,1.550,0.660
1,2:55,4,13,DAL 39,0,3,Jason Sanders 57 yard field goal good,0.660,3.000
1,2:50,,,MIA 35,0,3,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,2:50,1,10,DAL 25,0,3,Dak Prescott pass complete deep right to CeeDee Lamb for 22 yards (tackle by Kader Kohou),0.610,2.060
1,2:14,1,10,DAL 47,0,3,Tony Pollard up the middle for 4 yards (tackle by Brandon Jones),2.060,2.060
1,1:41,2,6,MIA 49,6,3,"Dak Prescott pass complete short middle to CeeDee Lamb for 49 yards, touchdown",2.060,7.000
1,1:30,,,MIA 15,7,3,Brandon Aubrey kicks extra point good,0.000,0.000
1,1:30,,,DAL 35,7,3,"Brandon Aubrey kicks off 65 yards, touchback.",0.000,0.610
1,1:30,1,10,MIA 25,7,3,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle,0.610,0.060
1,1:27,2,10,MIA 25,7,3,Tua Tagovailoa pass complete short left to Cedrick Wilson for 18 yards (tackle by Donovan Wilson),0.060,1.800
1,0:43,1,10,MIA 43,7,3,Tua Tagovailoa pass complete deep right to Robbie Chosen for 19 yards (tackle by Damone Clark),1.800,3.050
1,0:17,1,10,DAL 38,7,3,Raheem Mostert right guard for 2 yards (tackle by Chauncey Golston),3.050,2.780
Quarter,Time,Down,ToGo,Location,DAL,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,DAL 36,7,3,Tua Tagovailoa pass complete short left to De'Von Achane for 7 yards (tackle by Micah Parsons and Neville Gallimore),2.780,3.010
2,14:22,3,1,DAL 29,7,3,Raheem Mostert up the middle for 15 yards (tackle by DaRon Bland),3.010,4.650
2,13:39,1,10,DAL 14,7,3,Tua Tagovailoa pass complete short right to Alec Ingold for 5 yards (tackle by Donovan Wilson),4.650,4.900
2,12:59,2,5,DAL 9,7,3,Raheem Mostert left guard for 6 yards (tackle by Stephon Gilmore),4.900,6.510
2,12:18,1,3,DAL 3,7,3,Raheem Mostert left guard for no gain (tackle by Jourdan Lewis),6.510,5.530
2,11:34,2,3,DAL 3,7,3,Raheem Mostert left end for -2 yards (tackle by Malik Hooker),5.530,4.260
2,11:12,3,5,DAL 5,7,3,Tua Tagovailoa pass incomplete short left,4.260,3.010
2,11:06,4,5,DAL 5,7,3,Tua Tagovailoa pass incomplete short left intended for Cedrick Wilson,3.010,0.380
2,11:02,1,10,DAL 6,7,3,Rico Dowdle right tackle for no gain (tackle by Andrew Van Ginkel and David Long),-0.380,-0.780
2,10:23,2,10,DAL 6,7,3,"Dak Prescott scrambles left end for no gain (tackle by Kader Kohou). Penalty on Tyler Smith: Offensive Holding, 3 yards (accepted) (no play)",-0.780,-1.000
2,9:58,2,13,DAL 3,7,3,Dak Prescott right guard for 2 yards (tackle by Melvin Ingram),-1.000,-1.540
2,9:20,3,11,DAL 5,7,3,"Dak Prescott pass incomplete short right intended for Brandin Cooks. Penalty on Christian Wilkins: Roughing the Passer, 15 yards (accepted) (no play)",-1.540,0.280
2,9:14,1,10,DAL 20,7,3,Dak Prescott sacked by Andrew Van Ginkel for -2 yards,0.280,-0.630
2,8:29,2,12,DAL 18,7,3,Dak Prescott pass incomplete short middle intended for Peyton Hendershot (defended by Zach Sieler),-0.630,-1.330
2,8:26,3,12,DAL 18,7,3,Dak Prescott scrambles up the middle for 2 yards (tackle by Zach Sieler),-1.330,-2.030
