Unnamed: 0,DAL,MIA
First Downs,19,22
Rush-Yds-TDs,25-97-0,26-91-0
Cmp-Att-Yd-TD-INT,20-32-253-2-0,24-37-293-1-0
Sacked-Yards,4-11,1-9
Net Pass Yards,242,284
Total Yards,339,375
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,6-38,5-33
Third Down Conv.,4-12,6-13
Fourth Down Conv.,2-2,0-1
Time of Possession,31:02,28:58
