Unnamed: 0,WAS,PIT
First Downs,10,15
Rush-Yds-TDs,14-51-0,38-107-1
Cmp-Att-Yd-TD-INT,19-35-138-1-1,9-20-131-0-0
Sacked-Yards,5-33,4-31
Net Pass Yards,105,100
Total Yards,156,207
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,6-68,6-59
Third Down Conv.,2-13,4-15
Fourth Down Conv.,2-4,0-0
Time of Possession,25:44,34:16
