Unnamed: 0,GNB,DET
First Downs,13,18
Rush-Yds-TDs,17-46-0,31-102-0
Cmp-Att-Yd-TD-INT,27-44-201-0-2,15-28-167-2-0
Sacked-Yards,4-31,2-15
Net Pass Yards,170,152
Total Yards,216,254
Fumbles-Lost,4-1,2-0
Turnovers,3,0
Penalties-Yards,14-100,4-38
Third Down Conv.,5-16,6-15
Fourth Down Conv.,1-3,0-1
Time of Possession,31:04,28:56
