Quarter,Time,Down,ToGo,Location,GNB,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Ryan Longwell kicks off 62 yards, muffed catch by Eddie Drummond, recovered by Eddie Drummond at DET-12, and returned for 15 yards",0.000,0.740
1,14:54,1,10,DET 27,0,0,Kevin Jones right tackle for 3 yards (tackle by Kabeer Gbaja-Biamila),0.740,0.600
1,14:19,2,7,DET 30,0,0,Joey Harrington pass complete to Roy Williams for 11 yards (tackle by Al Harris),0.600,1.660
1,13:40,1,10,DET 41,0,0,Kevin Jones left end for 3 yards (tackle by Mark Roman and Paris Lenon),1.660,1.530
1,13:00,2,7,DET 44,0,0,Joey Harrington sacked by Cullen Jenkins and Kabeer Gbaja-Biamila for -8 yards,1.530,-0.230
1,12:22,3,15,DET 36,0,0,Joey Harrington pass complete to Kevin Jones for 14 yards (tackle by Cullen Jenkins and Mark Roman),-0.230,-0.060
1,11:31,,,,0,0,Timeout #1 by Green Bay Packers,0.000,-0.060
1,11:28,4,1,DET 50,0,0,"Nick Harris punts 40 yards, fair catch by Antonio Chatman",-0.060,0.380
1,11:23,1,10,GNB 10,0,0,Brett Favre pass complete to Donald Driver for 9 yards (tackle by R.W. McQuarters),-0.380,0.240
1,10:50,2,1,GNB 19,0,0,Brett Favre pass complete to Javon Walker for 7 yards (tackle by Fernando Bryant),0.240,0.670
1,10:19,1,10,GNB 26,0,0,Ahman Green left end for 9 yards (tackle by Boss Bailey),0.670,1.350
1,9:46,2,1,GNB 35,0,0,Ahman Green right end for -1 yards (tackle by James Davis),1.350,0.500
1,9:06,3,2,GNB 34,0,0,Brett Favre pass incomplete intended for Bubba Franks (defended by Dre' Bly),0.500,-1.110
1,8:59,4,2,GNB 34,0,0,"B.J. Sander punts 37 yards, returned by Eddie Drummond for 3 yards (tackle by Robert Ferguson)",-1.110,-1.070
