Quarter,Time,Tm,Detail,GNB,DET
1,4:56,Lions,Marcus Pollard 9 yard pass from Joey Harrington (Jason Hanson kick),0,7
2,2:59,Packers,Ryan Longwell 50 yard field goal,3,7
3,8:34,Lions,Jason Hanson 21 yard field goal,3,10
4,4:13,Lions,Mike Williams 3 yard pass from Joey Harrington (Jason Hanson kick),3,17
