Quarter,Time,Down,ToGo,Location,DET,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DET 25,0,0,Kerryon Johnson left guard for 32 yards (tackle by Byron Jones),0.610,2.720
1,14:27,1,10,DAL 43,0,0,Kerryon Johnson left guard for 4 yards (tackle by Damien Wilson and Taco Charlton),2.720,2.720
1,13:45,2,6,DAL 39,0,0,Kerryon Johnson up the middle for -1 yards (tackle by Antwaun Woods and Demarcus Lawrence),2.720,1.880
1,13:00,3,7,DAL 40,0,0,Matthew Stafford pass incomplete short right intended for Luke Willson,1.880,0.590
1,12:56,4,7,DAL 40,0,0,"Penalty on Don Muhlbach: False Start, 5 yards (no play)",0.590,0.270
1,12:54,4,12,DAL 45,0,0,"Sam Martin punts 45 yards, touchback.",0.270,-0.280
1,12:44,1,10,DAL 20,0,0,Ezekiel Elliott right tackle for 1 yard (tackle by A'Shawn Robinson),0.280,-0.130
1,12:16,2,9,DAL 21,0,0,Ezekiel Elliott up the middle for 8 yards (tackle by Christian Jones and Quandre Diggs),-0.130,0.230
1,11:47,3,1,DAL 29,0,0,Ezekiel Elliott left tackle for -1 yards (tackle by Devon Kennard),0.230,-1.500
1,11:08,4,2,DAL 28,0,0,Chris Jones punts 42 yards downed by Jeff Heath,-1.500,-0.940
1,10:57,1,10,DET 30,0,0,Matthew Stafford pass complete short right to Marvin Jones for 5 yards (tackle by Xavier Woods and Chidobe Awuzie),0.940,1.070
1,10:16,2,5,DET 35,0,0,Matthew Stafford pass complete short left to Levine Toilolo for 8 yards (tackle by Damien Wilson and Jaylon Smith),1.070,1.800
1,9:33,1,10,DET 43,0,0,Kerryon Johnson right tackle for 1 yard (tackle by Demarcus Lawrence),1.800,1.390
1,8:50,2,9,DET 44,0,0,Matthew Stafford pass complete short left to Theo Riddick for 11 yards (tackle by Damien Wilson),1.390,2.590
1,8:13,1,10,DAL 45,0,0,LeGarrette Blount right tackle for 3 yards (tackle by Leighton Vander Esch),2.590,2.450
1,7:33,2,7,DAL 42,0,0,LeGarrette Blount right guard for 1 yard (tackle by Jeff Heath and Dorance Armstrong),2.450,1.880
