Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Kerryon Johnson,DET,9,55,1,2,38,4.2,17,1.9,2,4.5
LeGarrette Blount,DET,7,12,0,,-4,-0.6,16,2.3,1,7.0
Matthew Stafford,DET,2,5,0,1,5,2.5,0,0.0,0,
Jamal Agnew,DET,1,17,0,1,14,14.0,3,3.0,0,
Theo Riddick,DET,1,7,0,0,1,1.0,6,6.0,1,1.0
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Ezekiel Elliott,DAL,25,152,0,8,90,3.6,62,2.5,0,
Rod Smith,DAL,6,22,0,2,13,2.2,9,1.5,0,
Dak Prescott,DAL,3,2,0,0,2,0.7,0,0.0,0,
Tavon Austin,DAL,1,7,0,,7,7.0,0,0.0,0,
