Unnamed: 0,DET,DAL
First Downs,18,26
Rush-Yds-TDs,20-96-1,35-183-0
Cmp-Att-Yd-TD-INT,24-30-307-2-0,17-27-255-2-0
Sacked-Yards,3-21,3-24
Net Pass Yards,286,231
Total Yards,382,414
Fumbles-Lost,0-0,2-0
Turnovers,0,0
Penalties-Yards,8-58,2-20
Third Down Conv.,6-11,5-12
Fourth Down Conv.,0-0,1-1
Time of Possession,29:55,30:05
