Quarter,Time,Tm,Detail,SDG,JAX
1.0,6:51,Chargers,Mike Tolbert 13 yard rush (Nick Novak kick),7,0
,0:41,Chargers,Nick Novak 29 yard field goal,10,0
2.0,7:55,Jaguars,Maurice Jones-Drew 9 yard pass from Blaine Gabbert (Josh Scobee kick),10,7
,2:32,Jaguars,Cecil Shorts 5 yard pass from Blaine Gabbert (Josh Scobee kick),10,14
,1:26,Chargers,Vincent Brown 22 yard pass from Philip Rivers (Nick Novak kick),17,14
,0:16,Chargers,Vincent Jackson 35 yard pass from Philip Rivers (Nick Novak kick),24,14
3.0,12:04,Chargers,Malcom Floyd 52 yard pass from Philip Rivers (Nick Novak kick),31,14
4.0,10:48,Chargers,Ryan Mathews 31 yard rush (Nick Novak kick),38,14
