Quarter,Time,Down,ToGo,Location,SDG,JAX,Detail,EPB,EPA
1,0:36,1,10,JAX 21,10,0,Maurice Jones-Drew up the middle for 4 yards (tackle by Jacques Cesaire),0.340,0.340
Quarter,Time,Down,ToGo,Location,SDG,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,JAX 25,10,0,Blaine Gabbert pass complete short left to Mike Thomas for 8 yards (tackle by Marcus Gilchrist),0.340,1.140
2,14:35,1,10,JAX 33,10,0,Blaine Gabbert pass complete short middle to Maurice Jones-Drew for 13 yards (tackle by Donald Butler),1.140,1.990
2,13:54,1,10,JAX 46,10,0,Maurice Jones-Drew up the middle for 3 yards (tackle by Donald Butler),1.990,1.860
2,13:10,2,7,JAX 49,10,0,Blaine Gabbert pass complete short right to Marcedes Lewis for 12 yards (tackle by Travis LaBoy),1.860,2.980
2,12:29,1,10,SDG 39,10,0,Montell Owens right end for 9 yards (tackle by Antoine Cason),2.980,3.660
2,11:49,2,1,SDG 30,10,0,Blaine Gabbert pass complete short right to Marcedes Lewis for 7 yards (tackle by Antoine Cason),3.660,4.040
2,11:09,1,10,SDG 23,10,0,Maurice Jones-Drew right guard for 1 yard (tackle by Cam Thomas and Takeo Spikes),4.040,3.630
2,10:31,2,9,SDG 22,10,0,Maurice Jones-Drew up the middle for 3 yards (tackle by Antwan Barnes),3.630,3.340
2,9:43,3,6,SDG 19,10,0,"Blaine Gabbert sacked by Antwan Barnes for -7 yards. Penalty on Antwan Barnes: Defensive Offside, 5 yards (no play)",3.340,4.280
2,9:21,3,1,SDG 14,10,0,Maurice Jones-Drew right end for 3 yards (tackle by Travis LaBoy),4.280,4.840
2,8:44,1,10,SDG 11,10,0,Maurice Jones-Drew up the middle for 2 yards (tackle by Donald Butler and Takeo Spikes),4.840,4.510
2,8:01,2,8,SDG 9,10,6,"Blaine Gabbert pass complete short right to Maurice Jones-Drew for 9 yards, touchdown",4.510,7.000
2,,,,SDG 2,10,7,Josh Scobee kicks extra point good,0.000,0.000
2,,,,JAX 35,10,7,"Josh Scobee kicks off 74 yards, touchback",0.000,0.280
2,7:55,1,10,SDG 20,10,7,Philip Rivers pass incomplete short right intended for Jacob Hester,0.280,-0.270
2,7:51,2,10,SDG 20,10,7,Philip Rivers pass complete short left to Ryan Mathews for -1 yards (tackle by Kevin Rutland and D'Anthony Smith),-0.270,-1.140
2,7:07,3,11,SDG 19,10,7,Philip Rivers pass complete short middle to Randy McMichael for 7 yards (tackle by Dwight Lowery and Paul Posluszny),-1.140,-1.630
2,6:25,4,4,SDG 26,10,7,Mike Scifres punts 51 yards,-1.630,-0.940
2,6:14,1,10,JAX 30,10,7,Maurice Jones-Drew up the middle for 11 yards (tackle by Antoine Cason),0.940,1.660
2,5:41,1,10,JAX 41,10,7,Maurice Jones-Drew up the middle for 5 yards (tackle by Travis LaBoy),1.660,1.800
2,4:57,2,5,JAX 46,10,7,"DuJuan Harris up the middle for 3 yards (tackle by Travis LaBoy). Penalty on Chastin West: Illegal Formation, 5 yards (no play)",1.800,1.120
2,4:27,2,10,JAX 41,10,7,Blaine Gabbert pass complete short right to Zach Potter for 7 yards (tackle by Steve Gregory),1.120,1.360
2,3:45,3,3,JAX 48,10,7,Blaine Gabbert pass complete short middle to Maurice Jones-Drew for 48 yards (tackle by Eric Weddle),1.360,6.280
2,2:56,1,4,SDG 4,10,7,DuJuan Harris up the middle for -1 yards (tackle by Bront Bird),6.280,5.150
2,2:42,,,,10,7,Timeout #1 by San Diego Chargers,0.000,5.150
2,2:42,2,5,SDG 5,10,7,Blaine Gabbert pass incomplete short left intended for Jarett Dillard (defended by Antoine Cason),5.150,4.260
2,2:38,,,,10,7,Timeout #1 by Jacksonville Jaguars,0.000,4.260
2,2:38,3,5,SDG 5,10,13,"Blaine Gabbert pass complete short right to Cecil Shorts for 5 yards, touchdown. Penalty on Quentin Jammer: Defensive Pass Interference (Declined)",4.260,7.000
2,,,,SDG 2,10,14,Josh Scobee kicks extra point good,0.000,0.000
2,,,,JAX 35,10,14,"Josh Scobee kicks off 69 yards, returned by Richard Goodman for 36 yards (tackle by David Jones)",0.000,1.070
2,2:24,1,10,SDG 32,10,14,Philip Rivers pass incomplete short right intended for Mike Tolbert,1.070,0.530
2,2:18,2,10,SDG 32,10,14,Philip Rivers pass complete deep middle to Malcom Floyd for 14 yards (tackle by Kevin Rutland). Penalty on John Chick: Defensive Offside (Declined),0.530,1.990
2,2:08,1,10,SDG 46,10,14,Mike Tolbert up the middle for 4 yards (tackle by Chris Prosinski),1.990,1.990
2,2:00,2,6,,10,14,Philip Rivers pass complete short right to Vincent Jackson for 15 yards,1.990,3.250
2,1:54,1,10,JAX 35,10,14,"Philip Rivers pass incomplete short left intended for Malcom Floyd. Penalty on Jared Gaither: Offensive Holding, 10 yards (no play)",3.250,2.590
2,1:49,1,20,JAX 45,10,14,Philip Rivers pass complete short left to Patrick Crayton for 5 yards (tackle by Drew Coleman),2.590,2.030
2,1:44,2,15,JAX 40,10,14,"Penalty on Jeromey Clary: False Start, 5 yards (no play)",2.030,1.350
2,1:44,2,20,JAX 45,10,14,Philip Rivers pass complete deep right to Antonio Gates for 23 yards (tackle by Ashton Youboty),1.350,4.110
2,1:38,,,,10,14,Timeout #2 by Jacksonville Jaguars,0.000,4.110
2,1:38,1,10,JAX 22,10,14,Philip Rivers pass incomplete short left intended for Antonio Gates,4.110,3.560
2,1:33,2,10,JAX 22,16,14,"Philip Rivers pass complete deep left to Vincent Brown for 22 yards, touchdown",3.560,7.000
2,,,,JAX 2,17,14,Nick Novak kicks extra point good,0.000,0.000
2,,,,SDG 35,17,14,"Nick Novak kicks off 69 yards, returned by Cecil Shorts for 23 yards (tackle by Mike Tolbert)",0.000,0.150
2,1:20,1,10,JAX 19,17,14,Blaine Gabbert pass incomplete short left intended for Jarett Dillard,0.150,-0.390
2,1:16,2,10,JAX 19,17,14,Blaine Gabbert pass complete short right to Maurice Jones-Drew for 7 yards (tackle by Quentin Jammer),-0.390,-0.160
2,1:08,3,3,JAX 26,17,14,Blaine Gabbert pass complete short left to Mike Thomas for 13 yards (tackle by Dante Hughes),-0.160,1.530
2,1:08,1,10,JAX 39,17,14,Blaine Gabbert pass incomplete deep left intended for Mike Thomas is intercepted by Eric Weddle at SDG-41,1.530,-1.660
2,0:53,1,10,SDG 41,17,14,Mike Tolbert up the middle for 4 yards (tackle by Tyson Alualu),1.660,1.660
2,0:30,2,6,SDG 45,17,14,Philip Rivers pass complete short left to Vincent Jackson for 20 yards (tackle by Dwight Lowery),1.660,3.250
2,0:23,,,,17,14,Timeout #2 by San Diego Chargers,0.000,3.250
2,0:23,1,10,JAX 35,23,14,"Philip Rivers pass complete deep right to Vincent Jackson for 35 yards, touchdown",3.250,7.000
2,,,,JAX 2,24,14,Nick Novak kicks extra point good,0.000,0.000
2,,,,SDG 35,24,14,"Nick Novak kicks off 66 yards, returned by DuJuan Harris for 18 yards (tackle by Mike Tolbert)",0.000,-0.060
2,0:10,1,10,JAX 17,24,14,Maurice Jones-Drew up the middle for 5 yards (tackle by Takeo Spikes),-0.060,0.210
Quarter,Time,Down,ToGo,Location,SDG,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,24,14,"Josh Scobee kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,SDG 20,24,14,Philip Rivers pass complete short right to Antonio Gates for 15 yards (tackle by Paul Posluszny),0.280,1.270
3,14:23,1,10,SDG 35,24,14,Ryan Mathews right end for no gain (tackle by Russell Allen and Terrance Knighton),1.270,0.720
3,13:38,2,10,SDG 35,24,14,Philip Rivers pass complete short left to Antonio Gates for 6 yards (tackle by Paul Posluszny and D'Anthony Smith),0.720,0.830
3,12:55,3,4,SDG 41,24,14,Philip Rivers pass complete short left to Antonio Gates for 7 yards (tackle by Dawan Landry),0.830,2.130
3,12:14,1,10,SDG 48,30,14,"Philip Rivers pass complete deep right to Malcom Floyd for 52 yards, touchdown",2.130,7.000
3,,,,JAX 2,31,14,Nick Novak kicks extra point good,0.000,0.000
3,,,,SDG 35,31,14,"Nick Novak kicks off 65 yards, touchback",0.000,0.280
3,12:04,1,10,JAX 20,31,14,Blaine Gabbert pass complete short left to Jarett Dillard for 7 yards (tackle by Antoine Cason),0.280,0.680
3,11:32,2,3,JAX 27,31,14,Maurice Jones-Drew left tackle for 2 yards (tackle by Takeo Spikes),0.680,0.230
3,10:47,3,1,JAX 29,31,14,Blaine Gabbert pass complete short right to Guy Whimper for 17 yards (tackle by Vaughn Martin),0.230,1.990
3,10:28,1,10,JAX 46,31,14,"Blaine Gabbert for no gain. Blaine Gabbert fumbles, recovered by Blaine Gabbert at JAX-44",1.990,1.180
3,10:02,2,12,JAX 44,31,14,Blaine Gabbert up the middle for 5 yards,1.180,1.160
3,9:17,3,7,JAX 49,31,14,Blaine Gabbert pass incomplete short right intended for Marcedes Lewis,1.160,-0.130
3,9:12,4,7,JAX 49,31,14,"Nick Harris punts 51 yards, touchback",-0.130,-0.280
3,8:58,1,10,SDG 20,31,14,Ryan Mathews up the middle for 16 yards (tackle by Kevin Rutland),0.280,1.330
3,8:21,1,10,SDG 36,31,14,Ryan Mathews left end for 9 yards (tackle by Paul Posluszny),1.330,2.010
3,7:40,2,1,SDG 45,31,14,Mike Tolbert right end for no gain (tackle by Leger Douzable),2.010,1.290
3,7:00,3,1,SDG 45,31,14,Philip Rivers pass incomplete deep middle intended for Vincent Jackson,1.290,-0.390
3,6:53,4,1,SDG 45,31,14,"Mike Scifres punts 34 yards, fair catch by Mike Thomas",-0.390,-0.340
3,6:43,1,10,JAX 21,31,14,Maurice Jones-Drew up the middle for 3 yards (tackle by Travis LaBoy),0.340,0.210
3,6:05,2,7,JAX 24,31,14,Blaine Gabbert pass incomplete short left intended for Mike Thomas,0.210,-0.490
3,6:00,3,7,JAX 24,31,14,Blaine Gabbert sacked by Tommie Harris for -7 yards,-0.490,-2.320
3,5:32,4,14,JAX 17,31,14,"Nick Harris punts 52 yards, returned by Patrick Crayton for 10 yards (tackle by Montell Owens). Penalty on Marcus Gilchrist: Offensive Holding, 10 yards, Penalty on Darrell Stuckey: Offensive Holding (Declined)",-2.320,-0.280
3,5:20,1,10,SDG 20,31,14,Ryan Mathews up the middle for 5 yards (tackle by Nate Collins and Paul Posluszny),0.280,0.410
3,4:42,2,5,SDG 25,31,14,Ryan Mathews right end for -5 yards (tackle by Jeremy Mincey),0.410,-0.960
3,3:56,3,10,SDG 20,31,14,Philip Rivers pass complete short middle to Malcom Floyd for 15 yards (tackle by Morgan Trent),-0.960,1.270
3,3:13,1,10,SDG 35,31,14,"Philip Rivers pass complete short left to Jacob Hester for 10 yards (tackle by Russell Allen). Penalty on Randy McMichael: Chop Block, 15 yards (no play)",1.270,0.280
3,2:44,1,25,SDG 20,31,14,Ryan Mathews up the middle for no gain (tackle by D'Anthony Smith),0.280,-1.300
3,2:05,2,25,SDG 20,31,14,Philip Rivers pass complete short right to Ryan Mathews for -3 yards (tackle by D'Anthony Smith),-1.300,-2.790
3,1:19,3,28,SDG 17,31,14,Mike Tolbert up the middle for 3 yards (tackle by Terrance Knighton),-2.790,-2.030
3,0:44,4,25,SDG 20,31,14,"Mike Scifres punts 42 yards, returned by Mike Thomas for -3 yards (tackle by Richard Goodman)",-2.030,-1.270
3,0:34,1,10,JAX 35,31,14,Maurice Jones-Drew left tackle for 1 yard (tackle by Donald Butler),1.270,0.860
Quarter,Time,Down,ToGo,Location,SDG,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,JAX 36,31,14,Blaine Gabbert for 4 yards,0.860,0.700
4,14:46,,,,31,14,Timeout #1 by Jacksonville Jaguars,0.000,0.700
4,14:46,3,5,JAX 40,31,14,Blaine Gabbert pass complete short middle to Marcedes Lewis for 8 yards (tackle by Takeo Spikes),0.700,2.130
4,14:00,1,10,JAX 48,31,14,Blaine Gabbert pass incomplete deep middle intended for Jarett Dillard (defended by Donald Butler),2.130,1.580
4,13:54,2,10,JAX 48,31,14,Maurice Jones-Drew up the middle for 7 yards (tackle by Antonio Garay),1.580,1.820
4,13:12,3,3,SDG 45,31,14,Maurice Jones-Drew left end for 17 yards (tackle by Antoine Cason),1.820,3.710
4,12:32,1,10,SDG 28,31,14,Montell Owens up the middle for 2 yards (tackle by Donald Butler),3.710,3.440
4,11:54,2,8,SDG 26,31,14,Blaine Gabbert pass incomplete short middle intended for Montell Owens,3.440,2.740
4,11:48,3,8,SDG 26,31,14,Blaine Gabbert pass complete short left to Montell Owens for -4 yards (tackle by Donald Butler),2.740,1.410
4,11:07,4,12,SDG 30,31,14,"Nick Harris for no gain. Nick Harris fumbles, recovered by Nick Harris at JAX-JAC",1.410,-3.510
4,10:57,1,10,JAX 31,37,14,"Ryan Mathews left end for 31 yards, touchdown",3.510,7.000
4,,,,JAX 2,38,14,Nick Novak kicks extra point good,0.000,0.000
4,,,,SDG 35,38,14,"Nick Novak kicks off 68 yards, returned by DuJuan Harris for 24 yards (tackle by Mike Tolbert)",0.000,0.340
4,10:42,1,10,JAX 21,38,14,Blaine Gabbert pass complete short right to Maurice Jones-Drew for 4 yards (tackle by Takeo Spikes),0.340,0.340
4,10:01,2,6,JAX 25,38,14,Maurice Jones-Drew up the middle for 3 yards (tackle by Quentin Jammer),0.340,0.040
4,9:23,3,3,JAX 28,38,14,Maurice Jones-Drew up the middle for 14 yards (tackle by Eric Weddle),0.040,1.730
4,8:47,1,10,JAX 42,38,14,Blaine Gabbert pass incomplete short left intended for Jarett Dillard,1.730,1.190
4,8:42,2,10,JAX 42,38,14,Blaine Gabbert pass complete short right to Zach Potter for 9 yards (tackle by Quentin Jammer),1.190,1.690
4,8:04,3,1,SDG 49,38,14,Blaine Gabbert up the middle for 2 yards (tackle by Takeo Spikes),1.690,2.460
4,7:23,1,10,SDG 47,38,14,Blaine Gabbert pass complete short middle to Zach Potter for 8 yards (tackle by Takeo Spikes and Steve Gregory),2.460,2.990
4,6:49,2,2,SDG 39,38,14,DuJuan Harris left guard for 3 yards (tackle by Corey Liuget and Steve Gregory),2.990,3.180
4,6:13,1,10,SDG 36,38,14,"Blaine Gabbert sacked for -5 yards. Blaine Gabbert fumbles, ball out of bounds at SDG-36. Penalty on Blaine Gabbert: Illegal Bat, 10 yards (no play)",3.180,2.520
4,5:45,1,20,SDG 46,38,14,Blaine Gabbert pass incomplete short middle intended for Maurice Jones-Drew,2.520,1.290
4,5:41,2,20,SDG 46,38,14,Blaine Gabbert pass incomplete short left intended for Mike Thomas (defended by Dante Hughes),1.290,0.630
4,5:36,3,20,SDG 46,38,14,Blaine Gabbert for 4 yards,0.630,0.460
4,5:05,4,16,SDG 42,38,14,Nick Harris punts 38 yards,0.460,0.380
4,4:56,1,10,SDG 4,38,14,Curtis Brinkley up the middle for 1 yard (tackle by Jeremy Mincey),-0.380,-0.710
4,4:17,2,9,SDG 5,38,14,Curtis Brinkley up the middle for 1 yard (tackle by Paul Posluszny),-0.710,-1.190
4,3:34,3,8,SDG 6,38,14,Curtis Brinkley up the middle for 3 yards (tackle by Leger Douzable and Paul Posluszny),-1.190,-2.490
4,2:49,,,,38,14,Timeout #1 by San Diego Chargers,0.000,-2.490
4,2:49,4,5,SDG 9,38,14,"Mike Scifres punts 52 yards, returned by Mike Thomas for 7 yards (tackle by Antwan Barnes)",-2.490,-1.990
4,2:38,1,10,JAX 46,38,14,Blaine Gabbert right end for 4 yards (tackle by Eric Weddle),1.990,1.990
4,2:14,2,6,,38,14,Blaine Gabbert pass complete short right to Jarett Dillard for 7 yards (tackle by Quentin Jammer),1.990,2.720
4,2:09,1,10,SDG 43,38,14,Blaine Gabbert pass incomplete short middle intended for Mike Thomas,2.720,2.180
4,2:06,2,10,SDG 43,38,14,Blaine Gabbert pass incomplete short middle intended for Jarett Dillard (defended by Bront Bird),2.180,1.490
4,2:01,3,10,SDG 43,38,14,Blaine Gabbert pass incomplete short left intended for Fendi Onobun,1.490,0.400
4,1:56,4,10,SDG 43,38,14,Blaine Gabbert sacked by Cam Thomas for -11 yards,0.400,-2.520
4,1:47,1,10,JAX 46,38,14,Billy Volek kneels for -1 yards,2.520,1.840
4,1:08,2,11,JAX 47,38,14,Billy Volek kneels for -1 yards,1.840,1.030
4,0:33,3,12,JAX 48,38,14,Billy Volek kneels for -1 yards,1.030,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
