Unnamed: 0,SDG,JAX
First Downs,19,17
Rush-Yds-TDs,26-139-2,31-129-0
Cmp-Att-Yd-TD-INT,22-28-294-3-0,19-33-195-2-1
Sacked-Yards,0-0,2-18
Net Pass Yards,294,177
Total Yards,433,306
Fumbles-Lost,0-0,2-0
Turnovers,0,1
Penalties-Yards,6-55,3-26
Third Down Conv.,4-10,9-16
Fourth Down Conv.,0-0,0-2
Time of Possession,28:17,31:43
