Unnamed: 0,CHI,BAL
First Downs,18,16
Rush-Yds-TDs,54-231-0,26-125-0
Cmp-Att-Yd-TD-INT,9-17-134-2-0,24-41-180-0-2
Sacked-Yards,4-23,3-14
Net Pass Yards,111,166
Total Yards,342,291
Fumbles-Lost,4-2,1-1
Turnovers,2,3
Penalties-Yards,5-44,8-69
Third Down Conv.,5-17,3-18
Fourth Down Conv.,0-0,1-1
Time of Possession,36:45,31:09
