Quarter,Time,Down,ToGo,Location,CHI,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Connor Barth kicks off 60 yards, returned by Bobby Rainey for 22 yards (tackle by Benny Cunningham)",0.000,-0.740
1,14:55,1,10,BAL 27,0,0,Joe Flacco pass complete short left to Nick Boyle for 3 yards (tackle by Sam Acho),0.740,0.600
1,14:13,2,7,BAL 30,0,0,Alex Collins left guard for 5 yards (tackle by Danny Trevathan),0.600,0.560
1,13:36,3,2,BAL 35,0,0,Alex Collins left guard for 1 yard (tackle by Akiem Hicks),0.560,-0.980
1,12:58,4,1,BAL 36,0,0,Sam Koch punts 57 yards,-0.980,0.380
1,12:48,1,10,CHI 7,0,0,Jordan Howard left guard for 1 yard (tackle by Michael Pierce),-0.380,-0.710
1,12:17,2,9,CHI 8,0,0,Jordan Howard right tackle for -3 yards (tackle by Michael Pierce),-0.710,-1.650
1,11:56,3,12,CHI 5,0,0,"Mitch Trubisky pass incomplete deep left intended for Tanner Gentry. Penalty on Za'Darius Smith: Roughing the Passer, 15 yards (Offsetting), Penalty on CHI: Illegal Shift (Offsetting), Penalty on Michael Pierce: Defensive 12 On-field (Offsetting) (no play)",-1.650,0.280
1,11:52,1,10,CHI 20,0,0,Jordan Howard left guard for 1 yard (tackle by Patrick Onwuasor),0.280,-0.130
1,11:12,2,9,CHI 21,0,0,Mitch Trubisky pass incomplete deep right intended for Tanner Gentry,-0.130,-0.820
1,10:50,3,9,CHI 21,0,0,Mitch Trubisky pass complete short right to Dion Sims for 15 yards (tackle by Matt Judon),-0.820,1.330
1,10:10,1,10,CHI 36,0,0,Tarik Cohen left end for 7 yards (tackle by Tony Jefferson and Patrick Ricard),1.330,1.740
1,9:46,2,3,CHI 43,0,0,Tarik Cohen right end for 4 yards (tackle by Tyus Bowser),1.740,2.060
1,9:29,1,10,CHI 47,0,0,Mitch Trubisky pass incomplete short left intended for Dion Sims,2.060,1.520
1,9:25,2,10,CHI 47,0,0,Jordan Howard left end for no gain (tackle by Eric Weddle),1.520,0.830
1,8:56,3,10,CHI 47,0,0,Mitch Trubisky right end for 5 yards (tackle by Matt Judon),0.830,0.070
1,8:23,4,5,BAL 48,0,0,"Pat O'Donnell punts 39 yards, out of bounds",0.070,0.380
1,8:14,1,10,BAL 9,0,0,Alex Collins left end for 8 yards (tackle by Prince Amukamara),-0.380,-0.020
1,7:47,2,2,BAL 17,0,0,Joe Flacco pass complete short left to Mike Wallace for 8 yards (tackle by Prince Amukamara),-0.020,0.610
1,7:07,1,10,BAL 25,0,0,Alex Collins right guard for no gain (tackle by Danny Trevathan),0.610,0.060
1,6:33,2,10,BAL 25,0,0,Joe Flacco pass complete short right to Ben Watson for 5 yards (tackle by Adrian Amos),0.060,0.040
1,5:58,3,5,BAL 30,0,0,Joe Flacco sacked by Danny Trevathan for -7 yards,0.040,-1.830
1,5:24,4,12,BAL 23,0,0,"Sam Koch punts 59 yards, returned by Eddie Jackson for 7 yards (tackle by Anthony Levine)",-1.830,-0.610
1,5:13,1,10,CHI 25,0,0,Jordan Howard left guard for 6 yards (tackle by Chris Wormley),0.610,0.870
1,4:37,2,4,CHI 31,0,0,Jordan Howard left guard for 5 yards (tackle by C.J. Mosley),0.870,1.330
1,4:04,1,10,CHI 36,0,0,"Mitch Trubisky pass incomplete deep right intended for Tanner Gentry. Penalty on Matt Judon: Defensive Holding, 5 yards (no play)",1.330,1.660
1,3:57,1,10,CHI 41,0,0,Tarik Cohen left guard for -6 yards (tackle by Terrell Suggs),1.660,0.310
1,3:19,2,16,CHI 35,0,0,Tarik Cohen right end for -7 yards (tackle by Matt Judon),0.310,-1.290
1,2:37,3,23,CHI 28,0,0,Mitch Trubisky pass complete short left to Tarik Cohen for 14 yards (tackle by Marlon Humphrey),-1.290,-0.590
1,1:57,4,9,CHI 42,0,0,"Pat O'Donnell punts 47 yards, fair catch by Michael Campanaro",-0.590,0.370
1,1:48,1,10,BAL 11,0,0,Javorius Allen left guard for 7 yards (tackle by Eddie Goldman),-0.370,0.000
1,1:15,2,3,BAL 18,0,0,"Joe Flacco pass incomplete deep right intended for Mike Wallace. Penalty on Nick Boyle: Offensive Holding, 9 yards (no play)",0.000,-0.930
1,1:08,2,12,BAL 9,0,0,Joe Flacco pass complete short right to Javorius Allen for 1 yard (tackle by Danny Trevathan),-0.930,-1.540
1,0:30,3,11,BAL 10,0,0,Joe Flacco pass incomplete deep right intended for Breshad Perriman,-1.540,-2.490
1,0:22,4,11,BAL 10,0,0,"Sam Koch punts 54 yards, returned by Eddie Jackson for -1 yards (tackle by Chris Matthews)",-2.490,-1.270
1,0:13,1,10,CHI 35,0,0,Jordan Howard right guard for 3 yards (tackle by C.J. Mosley),1.270,1.130
Quarter,Time,Down,ToGo,Location,CHI,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,CHI 38,0,0,Jordan Howard left guard for 8 yards (tackle by C.J. Mosley and Bronson Kaufusi),1.130,1.990
2,14:29,1,10,CHI 46,0,0,"Jordan Howard left guard for 3 yards (tackle by Michael Pierce). Penalty on Tony Jefferson: Face Mask (15 Yards), 15 yards",1.990,3.180
2,14:02,1,10,BAL 36,0,0,Tarik Cohen left guard for 4 yards (tackle by Michael Pierce),3.180,3.180
2,13:31,2,6,BAL 32,0,0,Tarik Cohen left end for 1 yard (tackle by Bronson Kaufusi),3.180,2.610
2,13:01,3,5,BAL 31,0,0,Mitch Trubisky left end for 19 yards (tackle by Eric Weddle),2.610,4.780
2,12:26,1,10,BAL 12,0,0,Jordan Howard left guard for 3 yards (tackle by Willie Henry),4.780,4.640
2,11:44,2,7,BAL 9,0,0,Jordan Howard right tackle for 4 yards (tackle by C.J. Mosley),4.640,4.610
2,11:03,3,3,BAL 5,0,0,Mitch Trubisky pass incomplete short left intended for Tarik Cohen,4.610,3.020
2,10:58,4,3,BAL 5,3,0,Connor Barth 24 yard field goal good,3.020,3.000
2,10:54,,,CHI 35,3,0,"Connor Barth kicks off 65 yards, returned by Bobby Rainey for 28 yards (tackle by Roy Robertson-Harris)",0.000,-0.810
2,10:48,1,10,BAL 28,3,0,Alex Collins left guard for 30 yards (tackle by Kyle Fuller and Eddie Jackson),0.810,2.790
2,10:03,1,10,CHI 42,3,0,Javorius Allen right guard for 12 yards (tackle by Eddie Goldman),2.790,3.580
2,10:03,1,10,CHI 30,3,0,Alex Collins right guard for 2 yards (tackle by Eddie Goldman),3.580,3.300
2,8:41,2,8,CHI 28,3,0,Alex Collins left tackle for 2 yards (tackle by Sam Acho),3.300,2.870
2,8:01,3,6,CHI 26,3,0,Joe Flacco pass complete short middle to Maxx Williams for 6 yards (tackle by Christian Jones). Maxx Williams fumbles (forced by Christian Jones),2.870,-0.280
2,7:49,1,10,CHI 20,3,0,Jordan Howard left tackle for 7 yards (tackle by C.J. Mosley),0.280,0.680
2,7:07,2,3,CHI 27,3,0,Jordan Howard left guard for 2 yards (tackle by Eric Weddle),0.680,0.230
2,6:47,3,1,CHI 29,3,0,Mitch Trubisky pass incomplete short right intended for Kendall Wright,0.230,-1.440
2,6:42,4,1,CHI 29,3,0,"Pat O'Donnell punts 58 yards, returned by Michael Campanaro for 13 yards (tackle by Benny Cunningham)",-1.440,-0.670
2,6:29,1,10,BAL 26,3,0,Javorius Allen right guard for 2 yards (tackle by Akiem Hicks),0.670,0.400
2,5:52,2,8,BAL 28,3,0,Joe Flacco pass complete short middle to Michael Campanaro for 10 yards (tackle by Adrian Amos),0.400,1.470
2,5:10,1,10,BAL 38,3,0,Joe Flacco pass complete short right to Ben Watson for 2 yards (tackle by Kyle Fuller),1.470,1.190
2,4:31,2,8,BAL 40,3,0,Alex Collins left guard for 4 yards (tackle by Christian Jones and Leonard Floyd),1.190,1.020
2,3:54,3,4,BAL 44,3,0,Joe Flacco pass incomplete deep right intended for Breshad Perriman is intercepted by Bryce Callahan at CHI-28 and returned for 52 yards,1.020,-4.240
2,3:36,1,10,BAL 20,3,0,Jordan Howard left tackle for -1 yards (tackle by Matt Judon),4.240,3.560
2,3:00,2,11,BAL 21,9,0,"Tarik Cohen pass complete deep right to Zach Miller for 21 yards, touchdown",3.560,7.000
2,2:53,,,BAL 15,10,0,Connor Barth kicks extra point good,0.000,0.000
2,2:53,,,CHI 35,10,0,"Connor Barth kicks off 65 yards, returned by Bobby Rainey for 18 yards (tackle by Deon Bush)",0.000,-0.040
2,2:48,1,10,BAL 18,10,0,Joe Flacco pass complete short middle to Ben Watson for 6 yards (tackle by Adrian Amos),0.040,0.410
2,2:27,2,4,BAL 24,10,0,Joe Flacco pass incomplete short right intended for Ben Watson,0.410,-0.400
2,2:20,3,4,BAL 24,10,0,Joe Flacco pass incomplete short middle intended for Michael Campanaro,-0.400,-1.770
2,2:16,4,4,BAL 24,10,0,Sam Koch punts 41 yards,-1.770,-1.270
2,2:07,1,10,CHI 35,10,0,Tarik Cohen left guard for -1 yards (tackle by C.J. Mosley),1.270,0.590
2,2:00,2,11,CHI 34,10,0,Mitch Trubisky pass incomplete short left intended for Tarik Cohen,0.590,-0.100
