Unnamed: 0,DEN,BUF
First Downs,23,13
Rush-Yds-TDs,32-171-0,26-112-1
Cmp-Att-Yd-TD-INT,23-39-304-1-1,14-21-97-0-1
Sacked-Yards,1-5,2-25
Net Pass Yards,299,72
Total Yards,470,184
Fumbles-Lost,1-0,1-0
Turnovers,1,1
Penalties-Yards,3-31,5-40
Third Down Conv.,4-13,3-11
Fourth Down Conv.,2-2,1-1
Time of Possession,33:12,26:48
