Quarter,Time,Tm,Detail,DEN,BUF
1.0,6:17,Bills,Roscoe Parrish 74 yard punt return (Rian Lindell kick),0,7
,0:33,Broncos,Jason Elam 21 yard field goal,3,7
2.0,7:51,Broncos,Jason Elam 48 yard field goal,6,7
3.0,6:24,Bills,Marshawn Lynch 23 yard rush (Rian Lindell kick),6,14
,0:54,Broncos,Brandon Marshall 5 yard pass from Jay Cutler (pass failed),12,14
4.0,0:00,Broncos,Jason Elam 42 yard field goal,15,14
