Quarter,Time,Down,ToGo,Location,SEA,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,SEA 25,0,0,Mike Davis left guard for 12 yards (tackle by Matt Longacre),0.610,1.400
1,14:24,1,10,SEA 37,0,0,Mike Davis left guard for 5 yards (tackle by Cory Littleton and John Johnson),1.400,1.530
1,13:50,2,5,SEA 42,0,0,"Mike Davis up the middle for no gain (tackle by Mark Barron and Matt Longacre). Penalty on George Fant: Illegal Formation, 5 yards (no play)",1.530,0.860
1,13:26,2,10,SEA 37,0,0,Mike Davis up the middle for 2 yards (tackle by Samson Ebukam),0.860,0.430
1,12:41,3,8,SEA 39,0,0,"Russell Wilson pass incomplete deep right intended for David Moore. Penalty on Cory Littleton: Roughing the Passer, 15 yards (no play)",0.430,2.520
1,12:35,1,10,LAR 46,0,0,"Tyler Lockett up the middle for 18 yards (tackle by John Johnson). Penalty on Dante Fowler: Face Mask (15 Yards), 14 yards",2.520,4.650
1,12:11,1,10,LAR 14,0,0,Russell Wilson pass incomplete short right,4.650,4.000
1,12:05,2,10,LAR 14,0,0,Mike Davis right guard for 6 yards (tackle by Ndamukong Suh),4.000,4.280
1,11:23,3,4,LAR 8,6,0,"Russell Wilson pass complete short middle to Nick Vannett for 8 yards, touchdown, touchdown",4.280,7.000
1,11:16,,,LAR 15,7,0,Sebastian Janikowski kicks extra point good,0.000,0.000
1,11:16,,,SEA 35,7,0,"Sebastian Janikowski kicks off 70 yards, returned by Blake Countess for no gain (tackle by Maurice Alexander)",0.000,-0.280
1,11:11,1,10,LAR 14,7,0,Jared Goff pass complete short middle to Cooper Kupp for 6 yards (tackle by Bobby Wagner),-0.280,0.150
1,10:48,2,4,LAR 20,7,0,Jared Goff pass complete short middle to Robert Woods for 14 yards (tackle by Bradley McDougald),0.150,1.200
1,10:19,1,10,LAR 34,7,0,Jared Goff pass complete short right to Tyler Higbee for 8 yards,1.200,1.740
1,9:54,2,2,LAR 42,7,0,Jared Goff pass complete short right to Tyler Higbee for 7 yards (tackle by Bradley McDougald),1.740,2.190
1,9:12,1,10,LAR 49,7,0,Todd Gurley right guard for 9 yards (tackle by Bradley McDougald and K.J. Wright),2.190,2.860
1,8:36,2,1,SEA 42,7,0,Todd Gurley up the middle for 4 yards (tackle by Bobby Wagner),2.860,3.050
1,7:57,1,10,SEA 38,7,0,Todd Gurley right tackle for 8 yards (tackle by Bobby Wagner),3.050,3.590
1,7:34,2,2,SEA 30,7,0,Jared Goff pass complete short right to Todd Gurley for 20 yards (tackle by Shaquill Griffin),3.590,4.910
1,6:50,1,10,SEA 10,7,0,Jared Goff pass incomplete short left intended for Brandin Cooks,4.910,4.190
1,6:46,2,10,SEA 10,7,6,"Jared Goff pass complete short middle to Gerald Everett for 10 yards, touchdown",4.190,7.000
1,6:41,,,SEA 15,7,7,Greg Zuerlein kicks extra point good,0.000,0.000
1,6:41,,,LAR 35,7,7,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,6:41,1,10,SEA 25,7,7,Mike Davis left end for 5 yards (tackle by Dante Fowler and Ndamukong Suh),0.610,0.740
1,6:00,2,5,SEA 30,7,7,Russell Wilson pass complete short right to Doug Baldwin for 6 yards (tackle by Cory Littleton),0.740,1.330
1,5:20,1,10,SEA 36,7,7,Rashaad Penny up the middle for 38 yards (tackle by Lamarcus Joyner),1.330,3.840
1,4:30,1,10,LAR 26,7,7,Russell Wilson pass complete short right to Tyler Lockett for 8 yards (tackle by Michael Brockers),3.840,4.450
1,3:49,2,2,LAR 18,13,7,"Rashaad Penny right end for 18 yards, touchdown",4.450,7.000
1,3:42,,,LAR 15,14,7,Sebastian Janikowski kicks extra point good,0.000,0.000
1,3:42,,,SEA 35,14,7,"Sebastian Janikowski kicks off 65 yards, touchback.",0.000,0.610
1,3:42,1,10,LAR 25,14,7,Todd Gurley right tackle for 5 yards (tackle by Dion Jordan),0.610,0.740
1,3:14,2,5,LAR 30,14,7,Robert Woods left end for 9 yards (tackle by Dion Jordan),0.740,1.530
1,2:47,1,10,LAR 39,14,7,Jared Goff pass complete short left to Cooper Kupp for 3 yards,1.530,1.390
1,2:16,2,7,LAR 42,14,7,Jared Goff pass complete deep left to Cooper Kupp for 25 yards,1.390,3.380
1,1:33,1,10,SEA 33,14,7,Robert Woods up the middle for 14 yards (tackle by Tedric Thompson),3.380,4.310
1,1:01,1,10,SEA 19,14,7,Jared Goff pass complete short left to Todd Gurley for 4 yards (tackle by Justin Coleman),4.310,4.350
1,0:17,2,6,SEA 15,14,7,Jared Goff pass complete short left to Cooper Kupp for -2 yards (tackle by Bradley McDougald),4.350,3.260
Quarter,Time,Down,ToGo,Location,SEA,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,SEA 17,14,7,Jared Goff pass incomplete deep right,3.260,2.310
2,14:53,4,8,SEA 17,14,10,Greg Zuerlein 35 yard field goal good,2.310,3.000
2,14:48,,,LAR 35,14,10,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,14:48,1,10,SEA 25,14,10,Russell Wilson pass complete short right to Tyler Lockett for 8 yards (tackle by Mark Barron),0.610,1.140
2,14:13,2,2,SEA 33,14,10,C.J. Prosise up the middle for -3 yards (tackle by Aaron Donald),1.140,0.040
2,13:29,3,5,SEA 30,14,10,Russell Wilson sacked by Aaron Donald for -8 yards,0.040,-1.900
2,12:50,4,13,SEA 22,14,10,"Michael Dickson punts 68 yards, returned by Jojo Natson for 11 yards (tackle by Akeem King)",-1.900,-0.340
2,12:34,1,10,LAR 21,14,10,Jared Goff pass complete short left to Brandin Cooks for 9 yards (tackle by Tre Flowers),0.340,1.020
2,12:05,2,1,LAR 30,14,10,Jared Goff pass incomplete deep right intended for Brandin Cooks,1.020,0.300
2,11:58,,,,,,Timeout #1 by Los Angeles Rams,,
2,11:58,3,1,LAR 30,14,10,Jared Goff pass complete short left to Cooper Kupp for 7 yards (tackle by Bobby Wagner),0.300,1.400
2,11:32,1,10,LAR 37,14,10,Jared Goff pass complete deep middle to Brandin Cooks for 17 yards (tackle by Delano Hill),1.400,2.520
2,10:49,1,10,SEA 46,14,10,Todd Gurley up the middle for 3 yards (tackle by Rasheem Green),2.520,2.380
2,10:28,2,7,SEA 43,14,10,Jared Goff pass incomplete short right intended for Robert Woods (defended by Shaquill Griffin),2.380,1.680
2,10:23,3,7,SEA 43,14,10,Jared Goff sacked by Quinton Jefferson for -7 yards,1.680,-0.060
2,9:45,4,14,LAR 50,14,10,"Johnny Hekker punts 34 yards out of bounds. Penalty on Blake Countess: Unnecessary Roughness, 15 yards",-0.060,-1.000
2,9:36,1,10,SEA 31,14,10,Mike Davis up the middle for 4 yards (tackle by Cory Littleton and Samson Ebukam),1.000,1.000
2,9:00,2,6,SEA 35,14,10,Mike Davis right guard for no gain (tackle by Samson Ebukam),1.000,0.300
2,8:17,3,6,SEA 35,14,10,Russell Wilson sacked by Aaron Donald for -5 yards,0.300,-1.370
2,7:42,4,11,SEA 30,14,10,"Michael Dickson punts 57 yards, returned by Jojo Natson for 11 yards (tackle by Akeem King). Penalty on Marqui Christian: Offensive Holding, 10 yards",-1.370,0.280
2,7:31,1,10,LAR 14,14,10,Todd Gurley left tackle for 11 yards (tackle by Delano Hill),-0.280,0.610
2,6:55,1,10,LAR 25,14,10,Todd Gurley up the middle for 9 yards (tackle by Bobby Wagner and Delano Hill),0.610,1.280
2,6:24,2,1,LAR 34,14,10,Jared Goff pass complete deep left to Robert Woods for 18 yards (tackle by Tedric Thompson),1.280,2.390
2,5:34,1,10,SEA 48,14,10,Todd Gurley right end for 10 yards (tackle by Justin Coleman),2.390,3.050
2,4:58,1,10,SEA 38,14,10,Jared Goff up the middle for 4 yards (tackle by Bobby Wagner),3.050,3.050
2,4:30,2,6,SEA 34,14,10,Jared Goff pass incomplete short left intended for Cooper Kupp,3.050,2.340
2,4:23,3,6,SEA 34,14,10,Jared Goff pass complete short left to Brandin Cooks for 10 yards (tackle by Bobby Wagner),2.340,3.970
2,3:38,1,10,SEA 24,14,10,Jared Goff pass complete short middle to Brandin Cooks for 7 yards (tackle by Bobby Wagner),3.970,4.460
2,2:56,2,3,SEA 17,14,16,"Todd Gurley left end for 17 yards, touchdown",4.460,7.000
2,2:48,,,SEA 15,14,17,Greg Zuerlein kicks extra point good,0.000,0.000
