Unnamed: 0,SEA,LAR
First Downs,29,25
Rush-Yds-TDs,34-273-1,23-149-2
Cmp-Att-Yd-TD-INT,17-26-176-3-0,28-39-318-2-0
Sacked-Yards,4-35,2-11
Net Pass Yards,141,307
Total Yards,414,456
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,7-56,10-102
Third Down Conv.,2-9,5-10
Fourth Down Conv.,0-1,0-0
Time of Possession,30:37,29:23
