Quarter,Time,Down,ToGo,Location,NWE,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Steven Hauschka kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,NWE 20,0,0,Tom Brady pass complete short left to Aaron Hernandez for 8 yards (tackle by K.J. Wright),0.280,0.810
1,14:38,2,2,NWE 28,0,0,Tom Brady pass complete short left to Brandon Lloyd for 7 yards,0.810,1.270
1,14:29,1,10,NWE 35,0,0,Stevan Ridley right tackle for 2 yards (tackle by Brandon Mebane),1.270,0.990
1,13:46,2,8,NWE 37,0,0,Stevan Ridley left tackle for 1 yard (tackle by K.J. Wright),0.990,0.430
1,13:06,3,7,NWE 38,0,0,Tom Brady pass incomplete deep middle intended for Deion Branch (defended by Richard Sherman),0.430,-0.850
1,13:00,4,7,NWE 38,0,0,"Zoltan Mesko punts 46 yards, fair catch by Leon Washington",-0.850,0.140
1,12:52,1,10,SEA 16,0,0,"Russell Wilson sacked by Vince Wilfork for 0 yards. Penalty on Vince Wilfork: Defensive Offside, 5 yards (no play)",-0.140,0.740
1,12:34,1,5,SEA 21,0,0,Marshawn Lynch left guard for 4 yards (tackle by Kyle Love and Chandler Jones),0.740,0.690
1,11:59,2,1,SEA 25,0,0,Marshawn Lynch right tackle for no gain (tackle by Rob Ninkovich),0.690,-0.200
1,11:20,3,1,SEA 25,0,0,Russell Wilson pass complete short left to Robert Turbin for 6 yards (tackle by Kyle Arrington),-0.200,1.000
1,10:53,1,10,SEA 31,0,0,Russell Wilson pass complete deep right to Sidney Rice for 29 yards. Penalty on Patrick Chung: Illegal Contact (Declined),1.000,2.920
1,10:29,1,10,NWE 40,0,0,Russell Wilson pass complete deep right to Zach Miller for 22 yards (tackle by Brandon Spikes),2.920,4.370
1,9:53,1,10,NWE 18,0,0,Marshawn Lynch left tackle for 4 yards (tackle by Jerod Mayo and Chandler Jones),4.370,4.430
1,9:17,2,6,NWE 14,0,0,Marshawn Lynch right tackle for 5 yards (tackle by Devin McCourty and Patrick Chung),4.430,4.740
1,8:36,3,1,NWE 9,0,0,Marshawn Lynch right guard for -2 yards (tackle by Brandon Spikes),4.740,2.800
1,8:36,4,3,NWE 11,0,0,"Penalty on Clint Gresham: False Start, 5 yards (no play)",2.800,2.380
1,7:39,4,8,NWE 16,0,3,Steven Hauschka 34 yard field goal good,2.380,3.000
1,7:35,,,SEA 35,0,3,"Steven Hauschka kicks off 67 yards, returned by Danny Woodhead for 20 yards (tackle by Heath Farwell)",0.000,0.040
1,7:31,1,10,NWE 18,0,3,Tom Brady pass complete short left to Wes Welker for 6 yards (tackle by Marcus Trufant),0.040,0.410
1,6:57,2,4,NWE 24,0,3,Tom Brady pass incomplete short right intended for Stevan Ridley,0.410,-0.400
1,6:52,3,4,NWE 24,0,3,Tom Brady pass complete short left to Aaron Hernandez for 10 yards (tackle by K.J. Wright),-0.400,1.200
1,6:15,1,10,NWE 34,0,3,Tom Brady pass incomplete short right intended for Brandon Lloyd,1.200,0.660
1,6:11,2,10,NWE 34,0,3,Tom Brady pass complete deep left to Brandon Lloyd for 20 yards,0.660,2.520
1,5:59,1,10,SEA 46,6,3,"Tom Brady pass complete deep left to Wes Welker for 46 yards, touchdown",2.520,7.000
1,5:59,,,SEA 2,7,3,Stephen Gostkowski kicks extra point good,0.000,0.000
1,5:49,,,NWE 35,7,3,"Stephen Gostkowski kicks off 67 yards, returned by Leon Washington for 17 yards (tackle by Matt Slater)",0.000,-0.220
1,5:44,1,10,SEA 15,7,3,Marshawn Lynch right tackle for 7 yards (tackle by Patrick Chung and Jerod Mayo),-0.220,0.350
1,5:05,2,3,SEA 22,7,3,Russell Wilson pass complete short left to Golden Tate for -6 yards (tackle by Alfonzo Dennard),0.350,-1.250
1,4:25,3,9,SEA 16,7,3,Russell Wilson pass complete deep middle to Doug Baldwin for 50 yards (tackle by Kyle Arrington),-1.250,3.310
1,3:37,1,10,NWE 34,7,3,Russell Wilson pass complete short left to Sidney Rice for 6 yards,3.310,3.580
1,3:13,2,4,NWE 28,7,3,Russell Wilson pass incomplete deep left intended for Golden Tate,3.580,2.870
1,3:07,3,4,NWE 28,7,3,Russell Wilson right tackle for 9 yards (tackle by Brandon Spikes),2.870,4.310
1,2:15,1,10,NWE 19,7,3,"Penalty on Max Unger: False Start, 5 yards (no play)",4.310,3.970
1,1:59,1,15,NWE 24,7,9,"Russell Wilson pass complete deep middle to Doug Baldwin for 24 yards, touchdown",3.970,7.000
1,1:59,,,NWE 2,7,10,Steven Hauschka kicks extra point good,0.000,0.000
1,1:50,,,SEA 35,7,10,"Steven Hauschka kicks off 65 yards, touchback",0.000,0.280
1,1:50,1,10,NWE 20,7,10,"Penalty on Sebastian Vollmer: False Start, 5 yards (no play)",0.280,-0.310
1,1:50,1,15,NWE 15,7,10,Brandon Bolden right tackle for 3 yards (tackle by Marcus Trufant and Bobby Wagner),-0.310,-0.630
1,1:17,2,12,NWE 18,7,10,Tom Brady pass complete short middle to Rob Gronkowski for 20 yards (tackle by Earl Thomas),-0.630,1.470
1,0:36,1,10,NWE 38,7,10,Tom Brady pass complete short right to Rob Gronkowski for 11 yards (tackle by Richard Sherman),1.470,2.190
1,0:21,1,10,NWE 49,7,10,Tom Brady pass complete short left to Rob Gronkowski for 5 yards (tackle by Bobby Wagner and K.J. Wright),2.190,2.320
Quarter,Time,Down,ToGo,Location,NWE,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,SEA 46,7,10,Tom Brady pass complete short left to Brandon Lloyd for 8 yards,2.320,3.050
2,14:49,1,10,SEA 38,7,10,Brandon Bolden right guard for 13 yards (tackle by Bobby Wagner and Earl Thomas),3.050,3.910
2,14:27,1,10,SEA 25,7,10,Brandon Bolden right tackle for 3 yards (tackle by Bobby Wagner),3.910,3.770
2,13:54,2,7,SEA 22,7,10,Tom Brady pass incomplete deep right intended for Wes Welker (defended by Richard Sherman),3.770,3.070
2,13:48,3,7,SEA 22,7,10,Tom Brady pass complete short middle to Wes Welker for 8 yards (tackle by Marcus Trufant),3.070,4.650
2,13:16,1,10,SEA 14,7,10,Tom Brady pass complete short left to Deion Branch for 5 yards (tackle by Brandon Browner),4.650,4.900
2,12:51,2,5,SEA 9,7,10,Tom Brady pass complete short left to Rob Gronkowski for 4 yards (tackle by K.J. Wright),4.900,4.960
2,12:21,3,1,SEA 5,7,10,Brandon Bolden left tackle for 2 yards (tackle by Brandon Mebane and Kam Chancellor),4.960,6.510
2,11:42,1,3,SEA 3,7,10,"Tom Brady pass incomplete short left intended for Rob Gronkowski (defended by Earl Thomas). Penalty on NWE: Illegal Shift, 5 yards (no play)",6.510,5.370
2,11:38,1,8,SEA 8,7,10,Brandon Bolden up the middle for 5 yards (tackle by Brandon Mebane),5.370,5.530
2,11:17,2,3,SEA 3,7,10,Brandon Bolden left tackle for 2 yards (tackle by Brandon Browner),5.530,5.170
2,10:38,3,1,SEA 1,13,10,"Tom Brady pass complete short right to Aaron Hernandez for 1 yard, touchdown",5.170,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,10:38,,,SEA 2,14,10,Stephen Gostkowski kicks extra point good,0.000,0.000
