Unnamed: 0,NWE,SEA
First Downs,26,17
Rush-Yds-TDs,26-87-0,26-85-0
Cmp-Att-Yd-TD-INT,36-58-395-2-2,16-27-293-3-0
Sacked-Yards,1-7,2-10
Net Pass Yards,388,283
Total Yards,475,368
Fumbles-Lost,0-0,3-2
Turnovers,2,2
Penalties-Yards,6-80,4-35
Third Down Conv.,8-18,4-12
Fourth Down Conv.,0-1,1-2
Time of Possession,34:00,26:00
