Unnamed: 0,NYG,PHI
First Downs,18,21
Rush-Yds-TDs,23-103-0,40-295-1
Cmp-Att-Yd-TD-INT,20-34-251-0-0,14-30-137-0-0
Sacked-Yards,1-6,1-10
Net Pass Yards,245,127
Total Yards,348,422
Fumbles-Lost,5-1,1-0
Turnovers,1,0
Penalties-Yards,9-75,9-65
Third Down Conv.,3-11,8-16
Fourth Down Conv.,1-2,0-1
Time of Possession,26:12,33:48
