Unnamed: 0,CAR,TAM
First Downs,18,21
Rush-Yds-TDs,31-118-1,30-186-2
Cmp-Att-Yd-TD-INT,16-29-191-0-0,18-24-241-2-0
Sacked-Yards,2-9,1-6
Net Pass Yards,182,235
Total Yards,300,421
Fumbles-Lost,1-1,2-2
Turnovers,1,2
Penalties-Yards,7-71,10-80
Third Down Conv.,6-15,5-10
Fourth Down Conv.,0-1,0-0
Time of Possession,28:40,31:20
