Unnamed: 0,TEN,OAK
First Downs,26,22
Rush-Yds-TDs,32-161-2,24-97-1
Cmp-Att-Yd-TD-INT,21-27-391-3-1,25-34-262-2-0
Sacked-Yards,0-0,2-4
Net Pass Yards,391,258
Total Yards,552,355
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,4-21,3-20
Third Down Conv.,8-11,4-10
Fourth Down Conv.,0-0,0-1
Time of Possession,29:12,30:48
