Quarter,Time,Tm,Detail,TEN,OAK
1.0,7:43,Raiders,DeAndre Washington 14 yard rush (Daniel Carlson kick),0,7
,3:21,Titans,Derrick Henry 12 yard rush (Ryan Succop kick),7,7
2.0,14:04,Titans,A.J. Brown 91 yard pass from Ryan Tannehill (Ryan Succop kick),14,7
,10:43,Raiders,Rico Gafford 49 yard pass from Derek Carr (Daniel Carlson kick),14,14
,6:52,Titans,A.J. Brown 16 yard pass from Ryan Tannehill (Ryan Succop kick),21,14
,0:24,Raiders,Foster Moreau 1 yard pass from Derek Carr (Daniel Carlson kick),21,21
3.0,5:36,Titans,Derrick Henry 10 yard rush (Ryan Succop kick),28,21
4.0,14:29,Titans,Jonnu Smith 17 yard pass from Ryan Tannehill (Ryan Succop kick),35,21
,13:12,Titans,Jayon Brown 47 yard fumble return (Ryan Succop kick),42,21
