Unnamed: 0,SEA,WAS
First Downs,21,19
Rush-Yds-TDs,28-125-1,32-137-0
Cmp-Att-Yd-TD-INT,19-29-241-1-1,18-33-242-3-2
Sacked-Yards,3-20,0-0
Net Pass Yards,221,242
Total Yards,346,379
Fumbles-Lost,3-2,0-0
Turnovers,3,2
Penalties-Yards,4-32,4-40
Third Down Conv.,5-11,6-14
Fourth Down Conv.,0-0,1-1
Time of Possession,30:08,29:52
