Quarter,Time,Tm,Detail,SEA,WAS
1.0,12:26,Redskins,John Hall 20 yard field goal,0,3
,10:35,Seahawks,Bobby Engram 5 yard pass from Matt Hasselbeck (Josh Brown kick),7,3
,1:36,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),14,3
2.0,5:54,Redskins,Laveranues Coles 15 yard pass from Patrick Ramsey (John Hall kick),14,10
,2:07,Seahawks,Josh Brown 27 yard field goal,17,10
,0:06,Redskins,Rod Gardner 14 yard pass from Patrick Ramsey (John Hall kick),17,17
3.0,8:35,Redskins,John Hall 34 yard field goal,17,20
4.0,9:59,Seahawks,Josh Brown 48 yard field goal,20,20
,1:57,Redskins,Trung Canidate 10 yard pass from Rod Gardner (John Hall kick),20,27
