Quarter,Time,Tm,Detail,NWE,BUF
1.0,10:11,Patriots,Corey Dillon 15 yard rush (Adam Vinatieri kick),7,0
,6:19,Bills,Rian Lindell 33 yard field goal,7,3
,1:40,Patriots,Adam Vinatieri 42 yard field goal,10,3
,1:26,Bills,Terrence McGee 98 yard kickoff return (Rian Lindell kick),10,10
2.0,2:43,Bills,Eric Moulds 41 yard pass from Drew Bledsoe (Rian Lindell kick),10,17
,1:28,Patriots,David Patten 30 yard pass from Tom Brady (Adam Vinatieri kick),17,17
4.0,11:17,Patriots,Daniel Graham 2 yard pass from Tom Brady (Adam Vinatieri kick),24,17
,2:44,Patriots,Richard Seymour 68 yard defensive fumble return (Adam Vinatieri kick),31,17
