Unnamed: 0,NWE,BUF
First Downs,21,18
Rush-Yds-TDs,26-99-1,27-123-0
Cmp-Att-Yd-TD-INT,17-30-298-2-0,18-30-247-1-1
Sacked-Yards,0-0,6-33
Net Pass Yards,298,214
Total Yards,397,337
Fumbles-Lost,2-1,2-1
Turnovers,1,2
Penalties-Yards,10-77,11-94
Third Down Conv.,5-11,2-12
Fourth Down Conv.,0-0,2-4
Time of Possession,28:43,31:17
