Quarter,Time,Tm,Detail,DET,KAN
1.0,6:54,Chiefs,Tony Gonzalez 27 yard pass from Trent Green (Morten Andersen kick),0,7
,2:41,Chiefs,Priest Holmes 14 yard rush (Morten Andersen kick),0,14
2.0,12:08,Chiefs,Priest Holmes 9 yard rush (Morten Andersen kick),0,21
,3:35,Lions,Jason Hanson 29 yard field goal,3,21
,2:11,Chiefs,Derrick Blaylock 63 yard pass from Trent Green (Morten Andersen kick),3,28
,0:18,Lions,Az-Zahir Hakim 8 yard pass from Joey Harrington (Jason Hanson kick),10,28
3.0,10:30,Chiefs,Priest Holmes 3 yard rush (Morten Andersen kick),10,35
,6:56,Chiefs,Morten Andersen 35 yard field goal,10,38
,3:54,Lions,Shawn Bryson 1 yard rush (Jason Hanson kick),17,38
,1:02,Chiefs,Tony Gonzalez 9 yard pass from Trent Green (Morten Andersen kick),17,45
